#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2456 3.3108E-04 3.3108E-04  -1.70   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.107047  3.5381  5.3537 -2.7802 17.8521 14.1136 12.4273 11.6607 11.2518
  14  0.117704  3.5462  5.3054 -2.6586 17.2187 13.6950 12.0540 11.3428 10.9554
  15  0.129769  3.5543  5.2572 -2.5355 16.6078 13.2740 11.6826 11.0200 10.6535
  16  0.143023  3.5618  5.2140 -2.4200 16.0647 12.8830 11.3407 10.7169 10.3686
  17  0.156391  3.5680  5.1801 -2.3226 15.6310 12.5581 11.0578 10.4621 10.1277
  18  0.168327  3.5726  5.1552 -2.2473 15.3042 12.3094 10.8418 10.2657  9.9411
  19  0.178827  3.5762  5.1355 -2.1873 15.0489 12.1129 10.6714 10.1096  9.7924
  20  0.189394  3.5793  5.1172 -2.1317 14.8178 11.9325 10.5149  9.9650  9.6542
  21  0.203200  3.5829  5.0953 -2.0647 14.5456 11.7183 10.3292  9.7922  9.4881
  22  0.228613  3.5887  5.0604 -1.9549 14.0957 11.3702 10.0295  9.5108  9.2165
  23  0.246258  3.5920  5.0409 -1.8900 13.8407 11.1663  9.8520  9.3440  9.0554
  24  0.257918  3.5939  5.0293 -1.8511 13.6910 11.0440  9.7451  9.2435  8.9584
  25  0.284121  3.5980  5.0070 -1.7700 13.3865 10.7913  9.5243  9.0350  8.7569
  26  0.299674  3.6002  4.9957 -1.7271 13.2277 10.6583  9.4078  8.9248  8.6503
  27  0.315183  3.6023  4.9854 -1.6863 13.0742 10.5306  9.2965  8.8196  8.5489
  28  0.321386  3.6032  4.9820 -1.6712 13.0165 10.4831  9.2552  8.7807  8.5113
  29  0.325314  3.6036  4.9792 -1.6610 12.9781 10.4515  9.2277  8.7547  8.4861
  30  0.328119  3.6040  4.9774 -1.6541 12.9514 10.4295  9.2087  8.7368  8.4688
  31  0.330580  3.6044  4.9766 -1.6486 12.9292 10.4116  9.1934  8.7226  8.4551
  32  0.332921  3.6047  4.9757 -1.6433 12.9073 10.3942  9.1787  8.7087  8.4419
  33  0.335245  3.6050  4.9743 -1.6374 12.8841 10.3754  9.1626  8.6937  8.4273
  34  0.337735  3.6054  4.9723 -1.6307 12.8576 10.3539  9.1442  8.6763  8.4106
  35  0.340557  3.6058  4.9698 -1.6229 12.8276 10.3292  9.1229  8.6562  8.3912
  36  0.343945  3.6063  4.9665 -1.6135 12.7923 10.3001  9.0975  8.6322  8.3679
  37  0.348519  3.6068  4.9624 -1.6015 12.7483 10.2638  9.0659  8.6018  8.3381
  38  0.364095  3.6093  4.9468 -1.5571 12.5745 10.1215  8.9440  8.4872  8.2277
  39  0.385357  3.6142  4.9209 -1.4875 12.2931  9.8919  8.7498  8.3069  8.0557
  40  0.409904  3.6199  4.8942 -1.4105 11.9793  9.6369  8.5343  8.1071  7.8659
  41  0.422631  3.6233  4.8777 -1.3671 11.8026  9.4917  8.4121  7.9943  7.7590
  42  0.433454  3.6268  4.8633 -1.3278 11.6376  9.3571  8.3003  7.8921  7.6628
  43  0.445134  3.6310  4.8478 -1.2838 11.4477  9.2039  8.1739  7.7772  7.5554
  44  0.453301  3.6345  4.8372 -1.2513 11.3020  9.0866  8.0789  7.6919  7.4762
  45  0.465787  3.6397  4.8202 -1.2019 11.0817  8.9122  7.9363  7.5632  7.3565
  46  0.474881  3.6442  4.8087 -1.1639 10.9025  8.7725  7.8244  7.4638  7.2650
  47  0.483999  3.6490  4.7979 -1.1255 10.7156  8.6298  7.7109  7.3633  7.1730
  48  0.490534  3.6528  4.7904 -1.0972 10.5744  8.5225  7.6266  7.2893  7.1057
  49  0.498773  3.6576  4.7819 -1.0621 10.3904  8.3895  7.5223  7.1975  7.0222
