#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2459 5.4651E-04 5.4651E-04  -1.50   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.108419  3.5355  5.3425 -2.7740 17.9102 14.1588 12.4732 11.6720 11.2457
  14  0.119639  3.5424  5.2919 -2.6532 17.3274 13.7537 12.1042 11.3547 10.9484
  15  0.132574  3.5494  5.2416 -2.5300 16.7502 13.3420 11.7319 11.0302 10.6442
  16  0.146835  3.5562  5.1978 -2.4147 16.2243 12.9576 11.3873 10.7260 10.3587
  17  0.160993  3.5621  5.1650 -2.3184 15.7921 12.6366 11.1024 10.4721 10.1200
  18  0.173909  3.5669  5.1400 -2.2408 15.4502 12.3785 10.8749 10.2677  9.9273
  19  0.186024  3.5708  5.1188 -2.1746 15.1682 12.1609 10.6838 10.0941  9.7630
  20  0.198235  3.5743  5.0990 -2.1134 14.9156 11.9622 10.5091  9.9340  9.6106
  21  0.211922  3.5776  5.0785 -2.0506 14.6650 11.7618 10.3325  9.7708  9.4546
  22  0.228001  3.5810  5.0574 -1.9842 14.4054 11.5518 10.1474  9.5987  9.2895
  23  0.245434  3.5843  5.0376 -1.9192 14.1541 11.3471  9.9672  9.4305  9.1279
  24  0.263877  3.5874  5.0195 -1.8572 13.9159 11.1523  9.7961  9.2703  8.9736
  25  0.282444  3.5902  5.0036 -1.8005 13.6997 10.9748  9.6402  9.1240  8.8326
  26  0.297161  3.5923  4.9921 -1.7585 13.5392 10.8433  9.5251  9.0159  8.7282
  27  0.307295  3.5937  4.9850 -1.7313 13.4347 10.7579  9.4505  8.9457  8.6605
  28  0.314291  3.5946  4.9810 -1.7139 13.3681 10.7034  9.4029  8.9009  8.6173
  29  0.319170  3.5952  4.9782 -1.7018 13.3214 10.6653  9.3698  8.8698  8.5873
  30  0.322776  3.5957  4.9757 -1.6926 13.2858 10.6362  9.3445  8.8460  8.5643
  31  0.326027  3.5962  4.9737 -1.6843 13.2531 10.6097  9.3216  8.8246  8.5438
  32  0.329226  3.5967  4.9715 -1.6760 13.2198 10.5829  9.2985  8.8030  8.5230
  33  0.332624  3.5972  4.9689 -1.6669 13.1844 10.5541  9.2736  8.7796  8.5004
  34  0.336439  3.5977  4.9657 -1.6566 13.1445 10.5215  9.2453  8.7530  8.4748
  35  0.340883  3.5983  4.9617 -1.6444 13.0983 10.4834  9.2121  8.7217  8.4446
  36  0.346171  3.5991  4.9565 -1.6296 13.0428 10.4375  9.1719  8.6837  8.4079
  37  0.354989  3.6004  4.9476 -1.6046 12.9480 10.3593  9.1038  8.6196  8.3459
  38  0.378424  3.6048  4.9224 -1.5339 12.6649 10.1289  8.9074  8.4365  8.1706
  39  0.403534  3.6110  4.8931 -1.4520 12.3239  9.8521  8.6756  8.2230  7.9679
  40  0.415530  3.6143  4.8774 -1.4104 12.1523  9.7109  8.5577  8.1147  7.8654
  41  0.425824  3.6174  4.8633 -1.3731 11.9984  9.5832  8.4515  8.0175  7.7737
  42  0.435629  3.6207  4.8497 -1.3364 11.8451  9.4559  8.3462  7.9218  7.6838
  43  0.445696  3.6244  4.8359 -1.2979 11.6814  9.3203  8.2349  7.8211  7.5897
  44  0.456053  3.6286  4.8221 -1.2572 11.5044  9.1746  8.1164  7.7147  7.4908
  45  0.466378  3.6334  4.8086 -1.2150 11.3153  9.0203  7.9923  7.6042  7.3888
  46  0.476342  3.6384  4.7961 -1.1732 11.1223  8.8643  7.8681  7.4945  7.2881
  47  0.485682  3.6435  4.7851 -1.1333 10.9328  8.7134  7.7489  7.3899  7.1928
  48  0.494448  3.6485  4.7754 -1.0957 10.7478  8.5689  7.6358  7.2912  7.1033
  49  0.502649  3.6534  4.7668 -1.0605 10.5679  8.4327  7.5299  7.1989  7.0197
  50  0.510544  3.6584  4.7591 -1.0262 10.3822  8.2992  7.4269  7.1091  6.9384
  51  0.518430  3.6637  4.7521 -0.9913 10.1867  8.1635  7.3224  7.0178  6.8559
  52  0.523398  3.6671  4.7479 -0.9692 10.0609  8.0777  7.2561  6.9597  6.8034
  53  0.528269  3.6706  4.7438 -0.9474  9.9358  7.9939  7.1913  6.9027  6.7518
  54  0.533063  3.6740  4.7399 -0.9259  9.8107  7.9120  7.1280  6.8469  6.7013
  55  0.537804  3.6774  4.7361 -0.9047  9.6860  7.8318  7.0661  6.7922  6.6516
  56  0.542501  3.6807  4.7323 -0.8836  9.5626  7.7530  7.0052  6.7384  6.6027
  57  0.547185  3.6841  4.7284 -0.8627  9.4414  7.6751  6.9447  6.6850  6.5543
  58  0.551865  3.6874  4.7244 -0.8418  9.3221  7.5984  6.8847  6.6321  6.5063
  59  0.556504  3.6906  4.7205 -0.8211  9.2038  7.5230  6.8257  6.5797  6.4588
  60  0.561105  3.6939  4.7166 -0.8005  9.0863  7.4495  6.7677  6.5279  6.4116
  61  0.565650  3.6971  4.7126 -0.7802  8.9713  7.3778  6.7108  6.4769  6.3649
  62  0.570144  3.7004  4.7088 -0.7600  8.8589  7.3076  6.6548  6.4266  6.3190
  63  0.574582  3.7035  4.7049 -0.7401  8.7502  7.2390  6.6000  6.3772  6.2738
  64  0.578970  3.7066  4.7009 -0.7204  8.6441  7.1720  6.5462  6.3287  6.2293
  65  0.583302  3.7097  4.6969 -0.7009  8.5401  7.1067  6.4935  6.2811  6.1856
  66  0.587569  3.7127  4.6927 -0.6817  8.4388  7.0429  6.4421  6.2345  6.1427
  67  0.591777  3.7155  4.6885 -0.6628  8.3409  6.9809  6.3918  6.1888  6.1006
  68  0.595915  3.7183  4.6841 -0.6442  8.2474  6.9205  6.3426  6.1442  6.0594
  69  0.599989  3.7211  4.6795 -0.6259  8.1578  6.8616  6.2946  6.1005  6.0190
  70  0.603983  3.7237  4.6750 -0.6078  8.0714  6.8043  6.2477  6.0578  5.9794
  71  0.607912  3.7263  4.6703 -0.5901  7.9877  6.7482  6.2017  6.0159  5.9407
  72  0.611773  3.7288  4.6655 -0.5726  7.9071  6.6934  6.1568  5.9749  5.9026
  73  0.615565  3.7312  4.6608 -0.5554  7.8290  6.6397  6.1127  5.9348  5.8653
  74  0.619292  3.7336  4.6559 -0.5384  7.7539  6.5871  6.0695  5.8954  5.8287
  75  0.622951  3.7359  4.6510 -0.5217  7.6814  6.5355  6.0270  5.8568  5.7930
  76  0.626549  3.7381  4.6459 -0.5052  7.6114  6.4849  5.9853  5.8189  5.7578
  77  0.630080  3.7403  4.6409 -0.4890  7.5434  6.4355  5.9445  5.7816  5.7231
  78  0.633557  3.7424  4.6357 -0.4729  7.4772  6.3872  5.9043  5.7449  5.6888
  79  0.636961  3.7445  4.6305 -0.4572  7.4129  6.3400  5.8649  5.7087  5.6550
  80  0.640313  3.7465  4.6252 -0.4416  7.3504  6.2938  5.8262  5.6731  5.6216
  81  0.643610  3.7484  4.6198 -0.4262  7.2898  6.2485  5.7881  5.6380  5.5887
  82  0.648313  3.7511  4.6119 -0.4042  7.2043  6.1838  5.7336  5.5877  5.5416
  83  0.652997  3.7538  4.6035 -0.3821  7.1209  6.1195  5.6792  5.5374  5.4942
  84  0.657643  3.7564  4.5950 -0.3600  7.0393  6.0557  5.6249  5.4872  5.4470
  85  0.662246  3.7589  4.5861 -0.3380  6.9596  5.9924  5.5708  5.4370  5.3996
  86  0.666804  3.7614  4.5770 -0.3159  6.8816  5.9295  5.5168  5.3869  5.3522
  87  0.671316  3.7638  4.5676 -0.2939  6.8054  5.8670  5.4629  5.3367  5.3047
  88  0.675773  3.7662  4.5580 -0.2720  6.7308  5.8050  5.4091  5.2866  5.2573
  89  0.680175  3.7686  4.5482 -0.2500  6.6573  5.7432  5.3554  5.2365  5.2098
  90  0.684515  3.7709  4.5382 -0.2281  6.5850  5.6817  5.3019  5.1866  5.1625
  91  0.688787  3.7731  4.5281 -0.2062  6.5133  5.6206  5.2487  5.1368  5.1152
  92  0.692987  3.7754  4.5179 -0.1843  6.4426  5.5598  5.1956  5.0871  5.0680
  93  0.697108  3.7776  4.5075 -0.1625  6.3731  5.4993  5.1426  5.0375  5.0209
  94  0.701147  3.7798  4.4970 -0.1407  6.3048  5.4391  5.0897  4.9879  4.9737
  95  0.705095  3.7819  4.4863 -0.1190  6.2378  5.3793  5.0369  4.9384  4.9266
  96  0.708941  3.7840  4.4754 -0.0974  6.1723  5.3199  4.9843  4.8891  4.8797
  97  0.712680  3.7860  4.4644 -0.0760  6.1081  5.2612  4.9322  4.8401  4.8329
  98  0.716307  3.7880  4.4532 -0.0548  6.0454  5.2032  4.8805  4.7915  4.7866
  99  0.719820  3.7899  4.4418 -0.0338  5.9841  5.1459  4.8293  4.7432  4.7404
 100  0.723217  3.7917  4.4304 -0.0130  5.9241  5.0894  4.7786  4.6954  4.6947
 101  0.726503  3.7934  4.4187  0.0076  5.8657  5.0338  4.7284  4.6477  4.6489
 102  0.729680  3.7950  4.4067  0.0279  5.8086  4.9791  4.6787  4.6004  4.6034
 103  0.732751  3.7966  4.3945  0.0481  5.7527  4.9251  4.6294  4.5535  4.5581
 104  0.735721  3.7980  4.3821  0.0680  5.6978  4.8718  4.5807  4.5070  4.5133
 105  0.738597  3.7994  4.3695  0.0877  5.6440  4.8191  4.5325  4.4609  4.4687
 106  0.741383  3.8006  4.3567  0.1072  5.5907  4.7669  4.4849  4.4155  4.4249
