#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2453 1.7240E-04 1.7240E-04  -2.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.104610  3.5413  5.3722 -2.7959 17.7962 14.0632 12.3827 11.6582 11.2682
  14  0.114698  3.5510  5.3263 -2.6715 17.0829 13.6257 12.0041 11.3382 10.9709
  15  0.125806  3.5606  5.2804 -2.5469 16.4154 13.1892 11.6330 11.0156 10.6695
  16  0.137885  3.5694  5.2378 -2.4295 15.8325 12.7833 11.2917 10.7112 10.3828
  17  0.150217  3.5763  5.2024 -2.3291 15.3740 12.4446 11.0067 10.4517 10.1361
  18  0.160799  3.5809  5.1773 -2.2560 15.0569 12.2033 10.8027 10.2634  9.9558
  19  0.169131  3.5841  5.1594 -2.2036 14.8355 12.0331 10.6583 10.1292  9.8268
  20  0.177395  3.5868  5.1430 -2.1556 14.6362 11.8787 10.5269 10.0062  9.7082
  21  0.190799  3.5907  5.1199 -2.0853 14.3463 11.6542 10.3356  9.8266  9.5348
  22  0.226858  3.5992  5.0688 -1.9247 13.6732 11.1447  9.9019  9.4174  9.1386
  23  0.244253  3.6025  5.0496 -1.8604 13.4166 10.9441  9.7289  9.2534  8.9796
  24  0.248379  3.6032  5.0448 -1.8456 13.3619 10.8989  9.6892  9.2156  8.9429
  25  0.284898  3.6092  5.0135 -1.7306 12.9364 10.5424  9.3778  8.9203  8.6576
  26  0.302384  3.6116  5.0017 -1.6836 12.7704 10.3992  9.2512  8.7998  8.5410
  27  0.325394  3.6149  4.9869 -1.6236 12.5488 10.2125  9.0880  8.6453  8.3921
  28  0.331357  3.6157  4.9836 -1.6093 12.4957 10.1682  9.0491  8.6085  8.3566
  29  0.334909  3.6161  4.9804 -1.5996 12.4610 10.1388  9.0231  8.5837  8.3325
  30  0.337647  3.6165  4.9791 -1.5934 12.4377 10.1194  9.0062  8.5677  8.3171
  31  0.340028  3.6168  4.9791 -1.5891 12.4209 10.1057  8.9944  8.5567  8.3066
  32  0.341915  3.6170  4.9795 -1.5861 12.4082 10.0956  8.9860  8.5488  8.2992
  33  0.343230  3.6172  4.9793 -1.5835 12.3974 10.0870  8.9786  8.5420  8.2927
  34  0.344200  3.6174  4.9787 -1.5809 12.3865 10.0783  8.9713  8.5352  8.2862
  35  0.345043  3.6176  4.9779 -1.5783 12.3759 10.0697  8.9641  8.5284  8.2797
  36  0.346038  3.6178  4.9770 -1.5755 12.3654 10.0611  8.9566  8.5214  8.2729
  37  0.347599  3.6178  4.9761 -1.5723 12.3552 10.0520  8.9481  8.5132  8.2649
  38  0.351714  3.6180  4.9737 -1.5643 12.3323 10.0306  8.9277  8.4930  8.2449
  39  0.363753  3.6201  4.9568 -1.5243 12.1848  9.9075  8.8197  8.3907  8.1461
  40  0.402595  3.6285  4.9178 -1.4075 11.7127  9.5258  8.4946  8.0880  7.8580
  41  0.417642  3.6320  4.8992 -1.3590 11.5190  9.3680  8.3596  7.9624  7.7386
  42  0.429513  3.6355  4.8843 -1.3178 11.3459  9.2297  8.2433  7.8554  7.6377
  43  0.443554  3.6404  4.8666 -1.2667 11.1237  9.0551  8.0978  7.7223  7.5130
  44  0.449497  3.6430  4.8596 -1.2435 11.0147  8.9723  8.0303  7.6614  7.4565
  45  0.465132  3.6486  4.8379 -1.1846 10.7547  8.7732  7.8638  7.5089  7.3134
  46  0.473164  3.6523  4.8276 -1.1523 10.5992  8.6592  7.7707  7.4248  7.2354
  47  0.482194  3.6566  4.8166 -1.1157 10.4196  8.5296  7.6654  7.3300  7.1477
  48  0.486294  3.6587  4.8112 -1.0983 10.3336  8.4680  7.6154  7.2850  7.1061
  49  0.495007  3.6636  4.8023 -1.0619 10.1419  8.3351  7.5094  7.1906  7.0197
  50  0.507884  3.6717  4.7901 -1.0062  9.8411  8.1319  7.3479  7.0474  6.8892
  51  0.517179  3.6773  4.7809 -0.9666  9.6291  7.9902  7.2347  6.9464  6.7970
  52  0.521332  3.6799  4.7765 -0.9485  9.5335  7.9264  7.1835  6.9007  6.7551
  53  0.525285  3.6823  4.7723 -0.9312  9.4428  7.8658  7.1347  6.8569  6.7150
  54  0.529222  3.6848  4.7681 -0.9138  9.3527  7.8055  7.0861  6.8134  6.6751
  55  0.533260  3.6873  4.7637 -0.8961  9.2622  7.7446  7.0368  6.7692  6.6345
  56  0.537440  3.6899  4.7591 -0.8777  9.1687  7.6817  6.9859  6.7235  6.5925
  57  0.541785  3.6926  4.7544 -0.8587  9.0726  7.6162  6.9331  6.6765  6.5495
  58  0.546265  3.6955  4.7497 -0.8390  8.9734  7.5484  6.8785  6.6280  6.5053
  59  0.550855  3.6984  4.7448 -0.8188  8.8720  7.4794  6.8230  6.5786  6.4602
  60  0.555433  3.7014  4.7400 -0.7986  8.7705  7.4112  6.7679  6.5293  6.4150
  61  0.559945  3.7043  4.7353 -0.7785  8.6708  7.3446  6.7140  6.4808  6.3704
  62  0.564390  3.7072  4.7305 -0.7587  8.5733  7.2794  6.6611  6.4332  6.3265
  63  0.568758  3.7101  4.7258 -0.7392  8.4786  7.2154  6.6093  6.3865  6.2836
  64  0.573053  3.7129  4.7212 -0.7200  8.3866  7.1528  6.5586  6.3408  6.2414
  65  0.577279  3.7157  4.7165 -0.7010  8.2973  7.0915  6.5088  6.2959  6.2001
  66  0.581445  3.7184  4.7117 -0.6823  8.2106  7.0315  6.4599  6.2518  6.1594
  67  0.585546  3.7211  4.7069 -0.6638  8.1265  6.9727  6.4120  6.2084  6.1194
  68  0.589591  3.7237  4.7021 -0.6455  8.0448  6.9150  6.3648  6.1658  6.0800
  69  0.593590  3.7262  4.6972 -0.6274  7.9653  6.8583  6.3184  6.1238  6.0412
  70  0.597549  3.7288  4.6922 -0.6095  7.8880  6.8025  6.2725  6.0822  6.0028
  71  0.601472  3.7312  4.6871 -0.5916  7.8126  6.7474  6.2271  6.0411  5.9648
  72  0.605360  3.7337  4.6820 -0.5739  7.7386  6.6927  6.1821  6.0004  5.9271
  73  0.609208  3.7361  4.6767 -0.5563  7.6661  6.6386  6.1375  5.9600  5.8897
  74  0.613017  3.7385  4.6714 -0.5387  7.5953  6.5852  6.0933  5.9200  5.8526
  75  0.616774  3.7408  4.6660 -0.5214  7.5264  6.5327  6.0497  5.8804  5.8158
  76  0.620478  3.7431  4.6605 -0.5042  7.4595  6.4812  6.0067  5.8411  5.7793
  77  0.624131  3.7453  4.6550 -0.4872  7.3943  6.4305  5.9642  5.8024  5.7432
  78  0.627719  3.7475  4.6495 -0.4704  7.3311  6.3808  5.9224  5.7641  5.7075
  79  0.631241  3.7496  4.6439 -0.4538  7.2700  6.3322  5.8813  5.7264  5.6722
  80  0.634697  3.7517  4.6383 -0.4375  7.2107  6.2845  5.8408  5.6892  5.6374
  81  0.638080  3.7538  4.6327 -0.4215  7.1530  6.2378  5.8011  5.6527  5.6032
  82  0.642926  3.7566  4.6244 -0.3983  7.0701  6.1704  5.7441  5.6005  5.5545
  83  0.647720  3.7595  4.6161 -0.3753  6.9870  6.1028  5.6876  5.5494  5.5069
  84  0.652446  3.7623  4.6075 -0.3524  6.9057  6.0360  5.6317  5.4985  5.4597
  85  0.657108  3.7650  4.5987 -0.3297  6.8275  5.9704  5.5760  5.4475  5.4119
  86  0.661707  3.7677  4.5899 -0.3069  6.7520  5.9059  5.5204  5.3962  5.3637
  87  0.666247  3.7704  4.5808 -0.2843  6.6782  5.8419  5.4650  5.3448  5.3154
  88  0.670728  3.7730  4.5716 -0.2616  6.6053  5.7782  5.4098  5.2936  5.2671
  89  0.675150  3.7756  4.5621 -0.2390  6.5332  5.7147  5.3546  5.2424  5.2189
  90  0.679514  3.7782  4.5525 -0.2163  6.4620  5.6513  5.2994  5.1912  5.1706
  91  0.683817  3.7807  4.5426 -0.1936  6.3914  5.5880  5.2442  5.1400  5.1223
  92  0.688059  3.7832  4.5325 -0.1708  6.3217  5.5249  5.1890  5.0886  5.0737
  93  0.692236  3.7856  4.5221 -0.1480  6.2529  5.4617  5.1335  5.0370  5.0250
  94  0.696347  3.7880  4.5113 -0.1251  6.1853  5.3985  5.0779  4.9851  4.9758
  95  0.700389  3.7904  4.5003 -0.1021  6.1184  5.3353  5.0220  4.9328  4.9263
  96  0.704347  3.7926  4.4888 -0.0791  6.0523  5.2723  4.9659  4.8804  4.8765
  97  0.708209  3.7949  4.4771 -0.0561  5.9870  5.2095  4.9099  4.8277  4.8264
  98  0.711970  3.7970  4.4650 -0.0332  5.9223  5.1470  4.8540  4.7751  4.7763
  99  0.715628  3.7991  4.4527 -0.0103  5.8583  5.0848  4.7983  4.7227  4.7264
 100  0.719180  3.8011  4.4400  0.0125  5.7944  5.0228  4.7434  4.6712  4.6773
 101  0.722624  3.8030  4.4270  0.0352  5.7313  4.9612  4.6887  4.6198  4.6282
 102  0.725960  3.8048  4.4136  0.0579  5.6695  4.9001  4.6341  4.5683  4.5789
 103  0.729188  3.8065  4.3999  0.0803  5.6091  4.8396  4.5794  4.5165  4.5292
 104  0.732308  3.8081  4.3859  0.1027  5.5504  4.7798  4.5244  4.4641  4.4788
 105  0.735323  3.8096  4.3715  0.1249  5.4929  4.7206  4.4697  4.4117  4.4282
 106  0.738236  3.8111  4.3568  0.1469  5.4363  4.6619  4.4151  4.3594  4.3776
 107  0.741047  3.8124  4.3418  0.1688  5.3806  4.6039  4.3609  4.3073  4.3271
 108  0.743765  3.8136  4.3265  0.1905  5.3257  4.5464  4.3072  4.2556  4.2768
 109  0.746394  3.8147  4.3109  0.2121  5.2715  4.4894  4.2540  4.2042  4.2269
 110  0.748943  3.8157  4.2951  0.2334  5.2181  4.4330  4.2012  4.1532  4.1771
 111  0.751415  3.8166  4.2789  0.2547  5.1655  4.3772  4.1487  4.1024  4.1274
 112  0.752094  3.8168  4.2744  0.2606  5.1509  4.3618  4.1341  4.0882  4.1136
 113  0.752772  3.8171  4.2697  0.2666  5.1360  4.3460  4.1193  4.0738  4.0995
 114  0.753447  3.8173  4.2651  0.2725  5.1214  4.3304  4.1046  4.0595  4.0855
 115  0.754118  3.8176  4.2604  0.2786  5.1064  4.3145  4.0896  4.0450  4.0713
 116  0.754784  3.8179  4.2558  0.2848  5.0909  4.2980  4.0742  4.0301  4.0568
 117  0.755446  3.8181  4.2511  0.2910  5.0757  4.2817  4.0590  4.0154  4.0424
 118  0.756104  3.8185  4.2466  0.2974  5.0598  4.2647  4.0433  4.0003  4.0279
 119  0.756758  3.8189  4.2421  0.3037  5.0441  4.2478  4.0276  3.9854  4.0134
 120  0.757410  3.8193  4.2376  0.3102  5.0279  4.2305  4.0118  3.9702  3.9987
 121  0.758060  3.8197  4.2331  0.3166  5.0118  4.2132  3.9959  3.9550  3.9840
 122  0.758706  3.8201  4.2285  0.3232  4.9955  4.1958  3.9797  3.9395  3.9691
 123  0.759350  3.8204  4.2237  0.3298  4.9792  4.1783  3.9634  3.9238  3.9538
 124  0.759990  3.8207  4.2186  0.3364  4.9627  4.1607  3.9468  3.9078  3.9382
 125  0.760624  3.8210  4.2132  0.3432  4.9462  4.1430  3.9300  3.8914  3.9221
 126  0.761253  3.8212  4.2074  0.3500  4.9295  4.1253  3.9129  3.8747  3.9056
 127  0.761876  3.8213  4.2014  0.3569  4.9128  4.1073  3.8956  3.8577  3.8888
 128  0.762493  3.8214  4.1952  0.3640  4.8958  4.0893  3.8781  3.8404  3.8717
 129  0.763107  3.8215  4.1889  0.3710  4.8788  4.0711  3.8604  3.8229  3.8543
 130  0.763716  3.8216  4.1825  0.3782  4.8616  4.0527  3.8425  3.8052  3.8368
 131  0.764320  3.8216  4.1758  0.3854  4.8443  4.0343  3.8244  3.7873  3.8190
 132  0.764920  3.8217  4.1690  0.3926  4.8269  4.0158  3.8062  3.7693  3.8009
 133  0.765514  3.8217  4.1620  0.3999  4.8094  3.9971  3.7878  3.7509  3.7827
 134  0.766103  3.8216  4.1549  0.4073  4.7918  3.9783  3.7692  3.7324  3.7641
 135  0.766686  3.8216  4.1475  0.4148  4.7741  3.9595  3.7504  3.7136  3.7453
 136  0.767262  3.8214  4.1397  0.4223  4.7562  3.9406  3.7314  3.6945  3.7261
 137  0.767832  3.8213  4.1317  0.4299  4.7383  3.9216  3.7122  3.6751  3.7065
 138  0.768394  3.8211  4.1235  0.4376  4.7203  3.9025  3.6928  3.6555  3.6866
 139  0.768950  3.8208  4.1151  0.4454  4.7022  3.8834  3.6731  3.6356  3.6664
 140  0.769498  3.8205  4.1063  0.4532  4.6839  3.8641  3.6533  3.6154  3.6459
 141  0.770038  3.8201  4.0973  0.4611  4.6656  3.8448  3.6333  3.5949  3.6250
 142  0.770570  3.8197  4.0880  0.4690  4.6472  3.8255  3.6130  3.5741  3.6037
 143  0.771093  3.8193  4.0784  0.4771  4.6286  3.8061  3.5924  3.5528  3.5819
 144  0.771606  3.8187  4.0685  0.4852  4.6099  3.7867  3.5715  3.5311  3.5596
 145  0.772110  3.8181  4.0582  0.4933  4.5911  3.7673  3.5504  3.5091  3.5368
 146  0.772604  3.8174  4.0475  0.5016  4.5722  3.7479  3.5289  3.4866  3.5135
 147  0.773087  3.8167  4.0365  0.5099  4.5532  3.7286  3.5072  3.4637  3.4897
 148  0.773559  3.8159  4.0250  0.5182  4.5342  3.7093  3.4852  3.4404  3.4653
 149  0.774020  3.8149  4.0132  0.5267  4.5152  3.6900  3.4629  3.4166  3.4404
 150  0.774468  3.8139  4.0009  0.5351  4.4963  3.6709  3.4405  3.3925  3.4151
 151  0.774905  3.8128  3.9880  0.5437  4.4776  3.6520  3.4179  3.3681  3.3893
 152  0.775328  3.8115  3.9746  0.5522  4.4595  3.6331  3.3956  3.3440  3.3637
 153  0.775739  3.8101  3.9607  0.5609  4.4418  3.6144  3.3733  3.3196  3.3377
 154  0.776136  3.8086  3.9463  0.5695  4.4244  3.5959  3.3510  3.2951  3.3115
 155  0.776520  3.8070  3.9313  0.5782  4.4075  3.5776  3.3286  3.2704  3.2850
 156  0.776891  3.8053  3.9159  0.5869  4.3907  3.5596  3.3062  3.2455  3.2579
 157  0.777247  3.8034  3.8998  0.5957  4.3742  3.5419  3.2836  3.2202  3.2304
 158  0.777591  3.8014  3.8832  0.6044  4.3580  3.5246  3.2610  3.1946  3.2025
 159  0.777922  3.7992  3.8661  0.6132  4.3425  3.5076  3.2384  3.1689  3.1742
 160  0.778239  3.7970  3.8484  0.6219  4.3278  3.4911  3.2158  3.1429  3.1456
