#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  74  0.604610  3.7381  4.6840 -0.5590  7.6042  6.6497  6.1595  5.9808  5.9089
  75  0.608264  3.7404  4.6787 -0.5420  7.5391  6.5983  6.1166  5.9419  5.8727
  76  0.611826  3.7426  4.6734 -0.5253  7.4757  6.5479  6.0745  5.9039  5.8376
  77  0.615300  3.7447  4.6681 -0.5089  7.4142  6.4987  6.0335  5.8667  5.8031
  78  0.618699  3.7468  4.6628 -0.4929  7.3547  6.4506  5.9932  5.8301  5.7692
  79  0.622017  3.7488  4.6575 -0.4770  7.2973  6.4038  5.9537  5.7942  5.7357
  80  0.625264  3.7508  4.6522 -0.4615  7.2418  6.3581  5.9149  5.7587  5.7028
  81  0.628444  3.7528  4.6469 -0.4462  7.1877  6.3134  5.8768  5.7239  5.6703
  82  0.633060  3.7557  4.6390 -0.4238  7.1095  6.2482  5.8214  5.6733  5.6230
  83  0.637682  3.7585  4.6308 -0.4012  7.0302  6.1822  5.7659  5.6227  5.5761
  84  0.642316  3.7613  4.6224 -0.3784  6.9509  6.1157  5.7099  5.5720  5.5288
  85  0.646955  3.7641  4.6137 -0.3554  6.8723  6.0492  5.6536  5.5206  5.4810
  86  0.651596  3.7669  4.6048 -0.3321  6.7955  5.9828  5.5966  5.4684  5.4320
  87  0.656204  3.7696  4.5956 -0.3088  6.7201  5.9167  5.5395  5.4156  5.3826
  88  0.660766  3.7723  4.5862 -0.2854  6.6459  5.8508  5.4823  5.3627  5.3328
  89  0.665275  3.7750  4.5766 -0.2620  6.5725  5.7849  5.4248  5.3096  5.2829
  90  0.669730  3.7777  4.5667 -0.2384  6.5000  5.7190  5.3673  5.2563  5.2327
  91  0.674124  3.7804  4.5566 -0.2148  6.4278  5.6532  5.3099  5.2030  5.1826
  92  0.678454  3.7830  4.5462 -0.1912  6.3562  5.5875  5.2523  5.1496  5.1322
  93  0.682716  3.7856  4.5356 -0.1675  6.2853  5.5218  5.1947  5.0960  5.0816
  94  0.686906  3.7882  4.5245 -0.1437  6.2152  5.4559  5.1368  5.0421  5.0307
  95  0.691019  3.7907  4.5131 -0.1197  6.1459  5.3901  5.0786  4.9879  4.9793
  96  0.695058  3.7930  4.5013 -0.0957  6.0776  5.3242  5.0200  4.9330  4.9273
  97  0.699016  3.7954  4.4890 -0.0716  6.0100  5.2583  4.9611  4.8777  4.8747
  98  0.702890  3.7976  4.4763 -0.0474  5.9428  5.1923  4.9021  4.8223  4.8220
  99  0.706665  3.7999  4.4632 -0.0231  5.8752  5.1263  4.8433  4.7672  4.7697
 100  0.710334  3.8020  4.4497  0.0012  5.8074  5.0603  4.7851  4.7126  4.7178
 101  0.713894  3.8041  4.4357  0.0254  5.7406  4.9946  4.7268  4.6579  4.6655
 102  0.717341  3.8060  4.4214  0.0496  5.6752  4.9294  4.6682  4.6026  4.6126
 103  0.720673  3.8079  4.4066  0.0738  5.6119  4.8644  4.6090  4.5463  4.5587
 104  0.723889  3.8095  4.3914  0.0978  5.5496  4.8000  4.5497  4.4899  4.5042
 105  0.726992  3.8112  4.3759  0.1217  5.4883  4.7361  4.4905  4.4332  4.4496
 106  0.729980  3.8127  4.3599  0.1455  5.4278  4.6727  4.4315  4.3765  4.3948
 107  0.732859  3.8141  4.3436  0.1692  5.3677  4.6099  4.3727  4.3200  4.3400
 108  0.735631  3.8154  4.3268  0.1927  5.3083  4.5475  4.3142  4.2636  4.2852
 109  0.738301  3.8166  4.3097  0.2162  5.2497  4.4857  4.2560  4.2073  4.2304
 110  0.740875  3.8176  4.2922  0.2394  5.1918  4.4245  4.1981  4.1512  4.1756
 111  0.743357  3.8186  4.2744  0.2625  5.1347  4.3639  4.1405  4.0953  4.1209
 112  0.744040  3.8188  4.2693  0.2689  5.1187  4.3469  4.1244  4.0796  4.1056
 113  0.744721  3.8191  4.2641  0.2755  5.1025  4.3297  4.1080  4.0636  4.0899
 114  0.745399  3.8193  4.2590  0.2820  5.0866  4.3128  4.0919  4.0480  4.0746
 115  0.746076  3.8195  4.2537  0.2885  5.0706  4.2957  4.0757  4.0321  4.0590
 116  0.746749  3.8198  4.2484  0.2952  5.0543  4.2783  4.0591  4.0159  4.0431
 117  0.747421  3.8200  4.2431  0.3018  5.0382  4.2610  4.0427  3.9999  4.0274
 118  0.748089  3.8202  4.2377  0.3085  5.0219  4.2437  4.0262  3.9838  4.0117
 119  0.748755  3.8205  4.2323  0.3152  5.0053  4.2258  4.0092  3.9674  3.9954
 120  0.749418  3.8207  4.2268  0.3220  4.9887  4.2080  3.9924  3.9510  3.9794
 121  0.750071  3.8209  4.2214  0.3289  4.9721  4.1903  3.9754  3.9345  3.9633
 122  0.750718  3.8213  4.2160  0.3360  4.9546  4.1713  3.9578  3.9176  3.9468
 123  0.751359  3.8216  4.2106  0.3431  4.9373  4.1526  3.9404  3.9007  3.9304
 124  0.751996  3.8220  4.2053  0.3502  4.9197  4.1334  3.9227  3.8837  3.9139
 125  0.752629  3.8225  4.2002  0.3575  4.9019  4.1141  3.9048  3.8667  3.8975
 126  0.753257  3.8229  4.1950  0.3648  4.8840  4.0944  3.8869  3.8495  3.8808
 127  0.753881  3.8233  4.1898  0.3722  4.8661  4.0748  3.8687  3.8323  3.8642
 128  0.754503  3.8238  4.1844  0.3795  4.8479  4.0549  3.8505  3.8148  3.8472
 129  0.755117  3.8241  4.1784  0.3871  4.8298  4.0353  3.8319  3.7968  3.8296
 130  0.755725  3.8242  4.1720  0.3947  4.8115  4.0154  3.8131  3.7784  3.8115
 131  0.756326  3.8243  4.1652  0.4023  4.7930  3.9955  3.7938  3.7595  3.7927
 132  0.756920  3.8244  4.1580  0.4102  4.7745  3.9756  3.7743  3.7402  3.7736
 133  0.757507  3.8245  4.1508  0.4180  4.7557  3.9554  3.7546  3.7207  3.7542
 134  0.758088  3.8245  4.1433  0.4259  4.7368  3.9352  3.7347  3.7009  3.7345
 135  0.758664  3.8245  4.1355  0.4338  4.7177  3.9150  3.7146  3.6809  3.7145
 136  0.759232  3.8244  4.1276  0.4419  4.6986  3.8946  3.6944  3.6606  3.6942
 137  0.759794  3.8244  4.1195  0.4500  4.6792  3.8742  3.6738  3.6401  3.6735
 138  0.760348  3.8243  4.1112  0.4582  4.6599  3.8535  3.6531  3.6192  3.6526
 139  0.760895  3.8240  4.1023  0.4665  4.6403  3.8330  3.6320  3.5979  3.6310
 140  0.761432  3.8238  4.0931  0.4748  4.6206  3.8124  3.6107  3.5763  3.6092
 141  0.761961  3.8234  4.0838  0.4832  4.6008  3.7917  3.5893  3.5543  3.5868
 142  0.762482  3.8231  4.0741  0.4916  4.5808  3.7709  3.5675  3.5320  3.5640
 143  0.762993  3.8226  4.0641  0.5002  4.5606  3.7502  3.5454  3.5093  3.5408
