#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2453 1.4887E-04 1.4887E-04  -2.10   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.103726  3.5422  5.3790 -2.8027 17.8125 14.0466 12.3709 11.6572 11.2719
  14  0.113675  3.5523  5.3337 -2.6777 17.0800 13.6090 11.9948 11.3386 10.9758
  15  0.124541  3.5623  5.2883 -2.5526 16.3949 13.1708 11.6260 11.0175 10.6755
  16  0.136307  3.5714  5.2459 -2.4345 15.7914 12.7618 11.2862 10.7140 10.3892
  17  0.148303  3.5787  5.2103 -2.3332 15.3040 12.4172 11.0009 10.4540 10.1419
  18  0.158851  3.5836  5.1842 -2.2575 14.9652 12.1663 10.7911 10.2602  9.9562
  19  0.167544  3.5871  5.1648 -2.2013 14.7272 11.9844 10.6374 10.1169  9.8184
  20  0.176172  3.5900  5.1474 -2.1504 14.5174 11.8216 10.4989  9.9869  9.6930
  21  0.189043  3.5937  5.1248 -2.0821 14.2380 11.6048 10.3139  9.8129  9.5249
  22  0.220385  3.6012  5.0797 -1.9409 13.6504 11.1582  9.9332  9.4534  9.1767
  23  0.237564  3.6047  5.0595 -1.8744 13.3874 10.9515  9.7546  9.2839  9.0125
  24  0.245657  3.6062  5.0498 -1.8434 13.2720 10.8571  9.6716  9.2049  8.9360
  25  0.280150  3.6120  5.0196 -1.7332 12.8644 10.5168  9.3738  8.9223  8.6630
  26  0.299087  3.6147  5.0063 -1.6807 12.6771 10.3573  9.2326  8.7879  8.5330
  27  0.321407  3.6179  4.9920 -1.6221 12.4609 10.1758  9.0736  8.6372  8.3877
  28  0.329108  3.6189  4.9876 -1.6034 12.3917 10.1184  9.0228  8.5891  8.3413
  29  0.334405  3.6196  4.9838 -1.5898 12.3425 10.0772  8.9863  8.5542  8.3075
  30  0.338872  3.6202  4.9815 -1.5795 12.3040 10.0455  8.9583  8.5277  8.2820
  31  0.342909  3.6207  4.9803 -1.5710 12.2716 10.0191  8.9352  8.5060  8.2612
  32  0.346007  3.6211  4.9798 -1.5648 12.2472  9.9995  8.9183  8.4900  8.2460
  33  0.348199  3.6215  4.9789 -1.5599 12.2277  9.9840  8.9048  8.4774  8.2339
  34  0.349849  3.6218  4.9777 -1.5556 12.2102  9.9700  8.8928  8.4661  8.2231
  35  0.351263  3.6221  4.9765 -1.5515 12.1938  9.9568  8.8815  8.4555  8.2129
  36  0.352737  3.6224  4.9751 -1.5473 12.1777  9.9439  8.8701  8.4448  8.2026
  37  0.354656  3.6225  4.9736 -1.5427 12.1616  9.9303  8.8578  8.4330  8.1912
  38  0.358650  3.6228  4.9709 -1.5341 12.1350  9.9066  8.8356  8.4113  8.1699
  39  0.368941  3.6246  4.9566 -1.5002 12.0097  9.8022  8.7440  8.3246  8.0861
  40  0.400788  3.6315  4.9243 -1.4042 11.6225  9.4892  8.4771  8.0759  7.8493
  41  0.413758  3.6344  4.9082 -1.3624 11.4565  9.3539  8.3610  7.9678  7.7465
  42  0.424727  3.6375  4.8944 -1.3249 11.3009  9.2296  8.2558  7.8707  7.6547
  43  0.438563  3.6420  4.8774 -1.2761 11.0912  9.0650  8.1176  7.7437  7.5354
  44  0.446423  3.6449  4.8682 -1.2474 10.9613  8.9663  8.0357  7.6690  7.4656
  45  0.462098  3.6504  4.8471 -1.1896 10.7066  8.7724  7.8729  7.5195  7.3252
  46  0.470781  3.6541  4.8360 -1.1557 10.5468  8.6552  7.7762  7.4317  7.2434
  47  0.480246  3.6584  4.8243 -1.1181 10.3656  8.5242  7.6688  7.3346  7.1533
  48  0.485681  3.6609  4.8171 -1.0959 10.2591  8.4477  7.6059  7.2776  7.1004
  49  0.494708  3.6657  4.8073 -1.0588 10.0686  8.3147  7.4988  7.1819  7.0125
  50  0.506850  3.6730  4.7952 -1.0070  9.7941  8.1280  7.3496  7.0491  6.8912
  51  0.515924  3.6783  4.7859 -0.9687  9.5931  7.9925  7.2408  6.9518  6.8021
  52  0.520186  3.6808  4.7812 -0.9503  9.4980  7.9284  7.1892  6.9057  6.7598
  53  0.524251  3.6832  4.7767 -0.9327  9.4073  7.8672  7.1398  6.8614  6.7192
  54  0.528281  3.6857  4.7723 -0.9151  9.3171  7.8063  7.0907  6.8175  6.6789
  55  0.532380  3.6882  4.7678 -0.8973  9.2272  7.7453  7.0412  6.7731  6.6381
  56  0.536591  3.6908  4.7631 -0.8788  9.1346  7.6825  6.9904  6.7275  6.5962
  57  0.540942  3.6934  4.7582 -0.8599  9.0400  7.6175  6.9380  6.6808  6.5534
  58  0.545415  3.6963  4.7534 -0.8403  8.9427  7.5506  6.8839  6.6327  6.5096
  59  0.549993  3.6991  4.7484 -0.8202  8.8433  7.4825  6.8291  6.5838  6.4649
  60  0.554580  3.7021  4.7435 -0.8000  8.7437  7.4148  6.7744  6.5349  6.4200
  61  0.559122  3.7049  4.7386 -0.7799  8.6454  7.3483  6.7205  6.4864  6.3754
  62  0.563610  3.7078  4.7336 -0.7600  8.5489  7.2828  6.6674  6.4387  6.3315
  63  0.568033  3.7107  4.7288 -0.7403  8.4549  7.2183  6.6152  6.3917  6.2883
  64  0.572391  3.7135  4.7240 -0.7208  8.3632  7.1550  6.5639  6.3456  6.2458
  65  0.576684  3.7163  4.7191 -0.7016  8.2740  7.0928  6.5134  6.3002  6.2041
  66  0.580916  3.7190  4.7141 -0.6826  8.1874  7.0320  6.4639  6.2556  6.1629
  67  0.585082  3.7217  4.7092 -0.6638  8.1033  6.9724  6.4153  6.2117  6.1225
  68  0.589185  3.7244  4.7042 -0.6453  8.0219  6.9140  6.3675  6.1686  6.0827
  69  0.593233  3.7269  4.6992 -0.6270  7.9427  6.8568  6.3206  6.1261  6.0434
  70  0.597228  3.7295  4.6941 -0.6089  7.8660  6.8007  6.2743  6.0842  6.0047
  71  0.601173  3.7319  4.6889 -0.5909  7.7913  6.7455  6.2287  6.0429  5.9665
  72  0.605067  3.7344  4.6838 -0.5732  7.7184  6.6909  6.1837  6.0021  5.9287
  73  0.608907  3.7368  4.6785 -0.5557  7.6470  6.6371  6.1392  5.9618  5.8914
  74  0.612696  3.7391  4.6732 -0.5382  7.5775  6.5841  6.0952  5.9220  5.8545
  75  0.616424  3.7414  4.6678 -0.5210  7.5098  6.5320  6.0520  5.8828  5.8181
  76  0.620093  3.7437  4.6623 -0.5039  7.4441  6.4809  6.0093  5.8439  5.7820
  77  0.623704  3.7459  4.6569 -0.4871  7.3801  6.4308  5.9673  5.8056  5.7463
  78  0.627250  3.7480  4.6514 -0.4705  7.3182  6.3817  5.9259  5.7678  5.7111
  79  0.630728  3.7501  4.6459 -0.4541  7.2583  6.3337  5.8853  5.7305  5.6762
  80  0.634140  3.7522  4.6403 -0.4380  7.2001  6.2865  5.8453  5.6938  5.6419
  81  0.637483  3.7543  4.6348 -0.4222  7.1433  6.2404  5.8060  5.6578  5.6082
  82  0.642290  3.7571  4.6266 -0.3992  7.0613  6.1734  5.7495  5.6061  5.5600
  83  0.647061  3.7599  4.6183 -0.3762  6.9792  6.1061  5.6932  5.5551  5.5126
