#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.100632  3.5455  5.4029 -2.8266 17.8696 13.9887 12.3298 11.6536 11.2848
  14  0.110095  3.5569  5.3595 -2.6992 17.0698 13.5504 11.9622 11.3402 10.9928
  15  0.120113  3.5682  5.3159 -2.5725 16.3233 13.1063 11.6015 11.0242 10.6963
  16  0.130785  3.5786  5.2742 -2.4522 15.6474 12.6866 11.2671 10.7236 10.4114
  17  0.141602  3.5870  5.2379 -2.3476 15.0592 12.3215 10.9806 10.4621 10.1622
  18  0.152035  3.5930  5.2082 -2.2628 14.6444 12.0368 10.7506 10.2488  9.9575
  19  0.161989  3.5974  5.1839 -2.1933 14.3483 11.8138 10.5644 10.0740  9.7889
  20  0.171892  3.6010  5.1627 -2.1321 14.1018 11.6216 10.4011  9.9195  9.6396
  21  0.182895  3.6044  5.1420 -2.0710 13.8591 11.4318 10.2381  9.7649  9.4901
  22  0.197728  3.6083  5.1178 -1.9977 13.5705 11.2054 10.0427  9.5793  9.3102
  23  0.214154  3.6122  5.0940 -1.9234 13.2852 10.9776  9.8445  9.3907  9.1277
  24  0.236131  3.6168  5.0673 -1.8357 12.9572 10.7108  9.6102  9.1675  8.9118
  25  0.263534  3.6217  5.0411 -1.7424 12.6125 10.4271  9.3600  8.9293  8.6817
  26  0.287546  3.6255  5.0226 -1.6707 12.3505 10.2105  9.1677  8.7463  8.5050
  27  0.307452  3.6284  5.0097 -1.6170 12.1532 10.0475  9.0232  8.6088  8.3724
  28  0.321236  3.6303  5.0018 -1.5828 12.0278  9.9440  8.9309  8.5211  8.2877
  29  0.332643  3.6318  4.9956 -1.5553 11.9277  9.8615  8.8573  8.4511  8.2201
  30  0.343158  3.6331  4.9900 -1.5307 11.8361  9.7867  8.7907  8.3878  8.1592
  31  0.352994  3.6345  4.9847 -1.5076 11.7490  9.7161  8.7282  8.3285  8.1021
  32  0.360329  3.6355  4.9807 -1.4903 11.6835  9.6633  8.6815  8.2844  8.0597
  33  0.365591  3.6364  4.9774 -1.4775 11.6338  9.6236  8.6466  8.2514  8.0280
  34  0.369620  3.6371  4.9744 -1.4670 11.5931  9.5911  8.6180  8.2244  8.0023
  35  0.373032  3.6378  4.9714 -1.4575 11.5563  9.5618  8.5923  8.2002  7.9790
  36  0.376184  3.6383  4.9683 -1.4484 11.5206  9.5335  8.5674  8.1767  7.9565
  37  0.379354  3.6390  4.9649 -1.4389 11.4842  9.5045  8.5418  8.1525  7.9333
  38  0.382926  3.6396  4.9609 -1.4284 11.4445  9.4725  8.5134  8.1255  7.9073
  39  0.387097  3.6404  4.9561 -1.4158 11.3967  9.4337  8.4791  8.0931  7.8761
