#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 1.0180E-04 1.0180E-04  -2.30   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.101958  3.5441  5.3927 -2.8164 17.8451 14.0135 12.3474 11.6551 11.2792
  14  0.111630  3.5549  5.3484 -2.6900 17.0741 13.5755 11.9762 11.3395 10.9855
  15  0.122011  3.5656  5.3040 -2.5639 16.3540 13.1339 11.6120 11.0214 10.6874
  16  0.133152  3.5755  5.2620 -2.4446 15.7091 12.7188 11.2753 10.7195 10.4019
  17  0.144474  3.5834  5.2260 -2.3415 15.1641 12.3625 10.9893 10.4587 10.1535
  18  0.154956  3.5890  5.1979 -2.2605 14.7819 12.0923 10.7680 10.2537  9.9569
  19  0.164370  3.5930  5.1757 -2.1968 14.5107 11.8869 10.5957 10.0924  9.8015
  20  0.173727  3.5963  5.1561 -2.1399 14.2799 11.7073 10.4430  9.9484  9.6625
  21  0.185530  3.5998  5.1346 -2.0758 14.0215 11.5059 10.2706  9.7855  9.5050
  22  0.207438  3.6053  5.1014 -1.9734 13.6047 11.1852  9.9957  9.5253  9.2530
  23  0.224187  3.6090  5.0792 -1.9024 13.3290 10.9664  9.8060  9.3450  9.0784
  24  0.240214  3.6123  5.0598 -1.8390 13.0921 10.7735  9.6365  9.1836  8.9222
  25  0.270655  3.6175  5.0319 -1.7385 12.7205 10.4655  9.3659  8.9263  8.6737
  26  0.292492  3.6208  5.0156 -1.6750 12.4904 10.2734  9.1955  8.7642  8.5170
  27  0.313433  3.6239  5.0021 -1.6192 12.2851 10.1025  9.0448  8.6210  8.3790
  28  0.324609  3.6254  4.9957 -1.5916 12.1838 10.0187  8.9703  8.5502  8.3106
  29  0.333398  3.6265  4.9905 -1.5701 12.1055  9.9539  8.9126  8.4953  8.2576
  30  0.341321  3.6276  4.9864 -1.5516 12.0367  9.8976  8.8626  8.4478  8.2118
  31  0.348672  3.6286  4.9828 -1.5347 11.9729  9.8460  8.8169  8.4046  8.1703
  32  0.354191  3.6294  4.9803 -1.5223 11.9251  9.8074  8.7830  8.3725  8.1395
  33  0.358138  3.6300  4.9780 -1.5128 11.8884  9.7781  8.7573  8.3483  8.1162
  34  0.361146  3.6305  4.9758 -1.5049 11.8575  9.7535  8.7358  8.3280  8.0969
  35  0.363702  3.6310  4.9736 -1.4978 11.8295  9.7311  8.7162  8.3096  8.0792
  36  0.366135  3.6315  4.9712 -1.4908 11.8022  9.7094  8.6972  8.2916  8.0619
  37  0.368769  3.6319  4.9687 -1.4834 11.7745  9.6870  8.6773  8.2727  8.0439
  38  0.372522  3.6324  4.9652 -1.4737 11.7405  9.6585  8.6515  8.2480  8.0198
  39  0.379316  3.6336  4.9563 -1.4519 11.6594  9.5916  8.5927  8.1923  7.9661
  40  0.397175  3.6374  4.9374 -1.3975 11.4422  9.4159  8.4420  8.0516  7.8320
  41  0.405991  3.6393  4.9261 -1.3691 11.3314  9.3258  8.3639  7.9785  7.7622
  42  0.415156  3.6415  4.9147 -1.3392 11.2108  9.2294  8.2809  7.9012  7.6887
  43  0.428582  3.6452  4.8989 -1.2948 11.0261  9.0847  8.1573  7.7866  7.5803
  44  0.440276  3.6488  4.8855 -1.2553 10.8546  8.9544  8.0466  7.6843  7.4839
  45  0.456031  3.6539  4.8656 -1.1996 10.6105  8.7709  7.8910  7.5408  7.3488
  46  0.466015  3.6576  4.8529 -1.1626 10.4419  8.6472  7.7871  7.4456  7.2595
  47  0.476350  3.6619  4.8396 -1.1230 10.2576  8.5135  7.6757  7.3439  7.1646
  48  0.484456  3.6653  4.8290 -1.0912 10.1100  8.4070  7.5868  7.2629  7.0891
  49  0.494109  3.6699  4.8174 -1.0526  9.9221  8.2740  7.4777  7.1644  6.9980
  50  0.504781  3.6757  4.8055 -1.0085  9.7000  8.1202  7.3530  7.0525  6.8951
  51  0.513415  3.6802  4.7958 -0.9728  9.5210  7.9970  7.2529  6.9627  6.8124
  52  0.517895  3.6827  4.7905 -0.9540  9.4270  7.9323  7.2005  6.9157  6.7692
  53  0.522182  3.6851  4.7856 -0.9358  9.3362  7.8699  7.1500  6.8703  6.7276
  54  0.526400  3.6876  4.7808 -0.9177  9.2460  7.8080  7.1000  6.8256  6.6865
  55  0.530619  3.6900  4.7759 -0.8996  9.1571  7.7466  7.0501  6.7808  6.6454
  56  0.534892  3.6925  4.7710 -0.8811  9.0665  7.6840  6.9993  6.7354  6.6037
  57  0.539257  3.6951  4.7659 -0.8622  8.9749  7.6202  6.9477  6.6893  6.5613
  58  0.543716  3.6978  4.7609 -0.8428  8.8812  7.5549  6.8948  6.6422  6.5182
  59  0.548268  3.7006  4.7557 -0.8229  8.7860  7.4886  6.8412  6.5943  6.4742
  60  0.552874  3.7034  4.7504 -0.8029  8.6901  7.4221  6.7873  6.5460  6.4299
  61  0.557475  3.7062  4.7452 -0.7827  8.5947  7.3557  6.7336  6.4977  6.3855
  62  0.562051  3.7091  4.7399 -0.7625  8.5002  7.2896  6.6799  6.4497  6.3414
  63  0.566582  3.7119  4.7347 -0.7424  8.4074  7.2240  6.6269  6.4021  6.2977
  64  0.571068  3.7147  4.7295 -0.7225  8.3165  7.1593  6.5744  6.3551  6.2545
  65  0.575495  3.7176  4.7242 -0.7027  8.2275  7.0955  6.5227  6.3087  6.2120
  66  0.579859  3.7203  4.7190 -0.6832  8.1410  7.0330  6.4718  6.2631  6.1700
  67  0.584154  3.7230  4.7137 -0.6639  8.0570  6.9717  6.4219  6.2182  6.1288
  68  0.588372  3.7257  4.7085 -0.6449  7.9760  6.9121  6.3730  6.1741  6.0880
  69  0.592518  3.7282  4.7032 -0.6261  7.8976  6.8539  6.3250  6.1308  6.0479
  70  0.596587  3.7308  4.6979 -0.6078  7.8219  6.7971  6.2780  6.0882  6.0086
  71  0.600575  3.7332  4.6926 -0.5896  7.7488  6.7416  6.2320  6.0465  5.9700
  72  0.604480  3.7357  4.6873 -0.5719  7.6779  6.6873  6.1869  6.0056  5.9320
  73  0.608305  3.7381  4.6820 -0.5544  7.6089  6.6340  6.1426  5.9655  5.8949
  74  0.612053  3.7404  4.6767 -0.5371  7.5418  6.5818  6.0991  5.9261  5.8584
  75  0.615725  3.7426  4.6713 -0.5201  7.4765  6.5305  6.0565  5.8875  5.8226
  76  0.619323  3.7448  4.6660 -0.5034  7.4132  6.4804  6.0146  5.8494  5.7873
  77  0.622851  3.7470  4.6606 -0.4870  7.3516  6.4313  5.9734  5.8121  5.7526
  78  0.626312  3.7491  4.6553 -0.4707  7.2923  6.3834  5.9330  5.7751  5.7182
  79  0.629703  3.7512  4.6498 -0.4547  7.2348  6.3366  5.8933  5.7388  5.6842
  80  0.633027  3.7531  4.6444 -0.4390  7.1788  6.2906  5.8542  5.7030  5.6508
  81  0.636288  3.7552  4.6391 -0.4235  7.1240  6.2455  5.8159  5.6679  5.6181
  82  0.641018  3.7580  4.6310 -0.4009  7.0438  6.1793  5.7602  5.6172  5.5709
  83  0.645742  3.7608  4.6228 -0.3781  6.9635  6.1128  5.7043  5.5666  5.5239
  84  0.650453  3.7636  4.6142 -0.3552  6.8845  6.0464  5.6484  5.5157  5.4765
  85  0.655142  3.7664  4.6055 -0.3323  6.8076  5.9807  5.5923  5.4641  5.4282
  86  0.659786  3.7691  4.5966 -0.3093  6.7326  5.9156  5.5360  5.4122  5.3795
  87  0.664385  3.7719  4.5875 -0.2863  6.6589  5.8506  5.4797  5.3602  5.3306
  88  0.668935  3.7746  4.5783 -0.2632  6.5860  5.7858  5.4234  5.3081  5.2816
  89  0.673434  3.7772  4.5687 -0.2401  6.5139  5.7210  5.3670  5.2558  5.2325
  90  0.677881  3.7799  4.5589 -0.2170  6.4423  5.6563  5.3106  5.2036  5.1833
  91  0.682271  3.7825  4.5489 -0.1937  6.3712  5.5915  5.2541  5.1512  5.1339
  92  0.686603  3.7851  4.5386 -0.1704  6.3008  5.5268  5.1975  5.0985  5.0842
  93  0.690873  3.7876  4.5280 -0.1470  6.2312  5.4620  5.1405  5.0456  5.0342
  94  0.695079  3.7900  4.5170 -0.1234  6.1624  5.3971  5.0833  4.9922  4.9838
  95  0.699215  3.7925  4.5056 -0.0998  6.0946  5.3320  5.0256  4.9383  4.9327
  96  0.703277  3.7948  4.4938 -0.0760  6.0273  5.2670  4.9676  4.8841  4.8812
  97  0.707249  3.7972  4.4817 -0.0521  5.9605  5.2019  4.9097  4.8297  4.8296
  98  0.711123  3.7994  4.4691 -0.0283  5.8934  5.1369  4.8521  4.7758  4.7783
  99  0.714894  3.8016  4.4563 -0.0045  5.8267  5.0720  4.7947  4.7220  4.7272
