#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.2491E-04 4.2491E-04  -1.60   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.107765  3.5369  5.3480 -2.7766 17.8800 14.1346 12.4481 11.6650 11.2480
  14  0.118680  3.5444  5.2986 -2.6555 17.2726 13.7229 12.0771 11.3476 10.9514
  15  0.131152  3.5519  5.2495 -2.5325 16.6792 13.3069 11.7055 11.0243 10.6487
  16  0.144882  3.5591  5.2059 -2.4173 16.1456 12.9198 11.3626 10.7210 10.3638
  17  0.158631  3.5651  5.1726 -2.3205 15.7138 12.5975 11.0792 10.4670 10.1243
  18  0.171067  3.5698  5.1476 -2.2441 15.3794 12.3441 10.8574 10.2665  9.9345
  19  0.182405  3.5735  5.1271 -2.1808 15.1099 12.1365 10.6763 10.1012  9.7776
  20  0.193836  3.5769  5.1080 -2.1222 14.8671 11.9463 10.5101  9.9484  9.6318
  21  0.207616  3.5803  5.0868 -2.0572 14.6051 11.7385 10.3286  9.7800  9.4704
  22  0.228262  3.5849  5.0589 -1.9696 14.2525 11.4610 10.0876  9.5546  9.2532
  23  0.245847  3.5882  5.0392 -1.9045 13.9987 11.2562  9.9083  9.3866  9.0915
  24  0.260976  3.5907  5.0243 -1.8538 13.8036 11.0969  9.7687  9.2557  8.9652
  25  0.283194  3.5941  5.0054 -1.7854 13.5452 10.8834  9.5819  9.0797  8.7954
  26  0.298306  3.5962  4.9940 -1.7431 13.3855 10.7513  9.4663  8.9708  8.6900
  27  0.311021  3.5980  4.9854 -1.7093 13.2573 10.6456  9.3741  8.8838  8.6061
  28  0.317623  3.5989  4.9816 -1.6931 13.1951 10.5946  9.3297  8.8419  8.5657
  29  0.322022  3.5994  4.9789 -1.6820 13.1526 10.5598  9.2995  8.8134  8.5381
  30  0.325209  3.5998  4.9768 -1.6740 13.1216 10.5344  9.2775  8.7927  8.5181
  31  0.328046  3.6003  4.9753 -1.6671 13.0943 10.5123  9.2585  8.7750  8.5011
  32  0.330806  3.6007  4.9738 -1.6603 13.0667 10.4901  9.2396  8.7573  8.4841
  33  0.333671  3.6011  4.9718 -1.6528 13.0373 10.4663  9.2191  8.7380  8.4655
  34  0.336839  3.6015  4.9692 -1.6443 13.0039 10.4392  9.1957  8.7160  8.4442
  35  0.340492  3.6020  4.9659 -1.6342 12.9656 10.4076  9.1683  8.6902  8.4193
  36  0.344851  3.6027  4.9616 -1.6220 12.9200 10.3700  9.1355  8.6591  8.3892
  37  0.351302  3.6035  4.9554 -1.6043 12.8537 10.3154  9.0880  8.6140  8.3453
  38  0.370962  3.6070  4.9349 -1.5464 12.6238 10.1280  8.9280  8.4642  8.2015
  39  0.394537  3.6126  4.9069 -1.4695 12.3073  9.8706  8.7116  8.2642  8.0112
  40  0.412643  3.6171  4.8859 -1.4107 12.0664  9.6740  8.5462  8.1114  7.8661
  41  0.424135  3.6203  4.8706 -1.3703 11.9012  9.5376  8.4322  8.0065  7.7669
  42  0.434431  3.6237  4.8566 -1.3324 11.7421  9.4067  8.3237  7.9076  7.6740
  43  0.445261  3.6277  4.8420 -1.2912 11.5659  9.2627  8.2052  7.8001  7.5735
  44  0.454556  3.6315  4.8298 -1.2545 11.4038  9.1306  8.0980  7.7039  7.4841
  45  0.465920  3.6366  4.8146 -1.2088 11.1993  8.9663  7.9649  7.5845  7.3735
  46  0.475476  3.6413  4.8025 -1.1687 11.0123  8.8178  7.8463  7.4795  7.2770
  47  0.484706  3.6463  4.7916 -1.1295 10.8236  8.6707  7.7298  7.3768  7.1832
  48  0.492379  3.6507  4.7830 -1.0964 10.6596  8.5442  7.6307  7.2901  7.1045
  49  0.500568  3.6555  4.7745 -1.0614 10.4779  8.4100  7.5259  7.1984  7.0212
  50  0.509431  3.6612  4.7659 -1.0228 10.2678  8.2627  7.4114  7.0979  6.9300
  51  0.517557  3.6665  4.7585 -0.9871 10.0683  8.1263  7.3055  7.0049  6.8458
  52  0.522325  3.6698  4.7543 -0.9659  9.9488  8.0455  7.2426  6.9495  6.7956
  53  0.526980  3.6730  4.7502 -0.9450  9.8307  7.9668  7.1812  6.8953  6.7464
  54  0.531580  3.6763  4.7463 -0.9244  9.7126  7.8895  7.1210  6.8420  6.6981
  55  0.536168  3.6795  4.7424 -0.9039  9.5945  7.8133  7.0617  6.7894  6.6502
  56  0.540756  3.6827  4.7384 -0.8833  9.4769  7.7378  7.0027  6.7372  6.6026
  57  0.545374  3.6859  4.7343 -0.8627  9.3604  7.6623  6.9437  6.6849  6.5552
  58  0.550021  3.6892  4.7302 -0.8420  9.2448  7.5872  6.8845  6.6328  6.5078
  59  0.554658  3.6923  4.7260 -0.8213  9.1296  7.5129  6.8261  6.5808  6.4607
  60  0.559259  3.6956  4.7220 -0.8007  9.0147  7.4403  6.7685  6.5293  6.4137
  61  0.563799  3.6987  4.7178 -0.7804  8.9026  7.3697  6.7121  6.4787  6.3673
  62  0.568281  3.7019  4.7138 -0.7602  8.7933  7.3005  6.6566  6.4288  6.3217
  63  0.572698  3.7050  4.7098 -0.7404  8.6881  7.2329  6.6023  6.3799  6.2769
  64  0.577057  3.7081  4.7057 -0.7208  8.5853  7.1670  6.5492  6.3319  6.2328
  65  0.581354  3.7111  4.7015 -0.7014  8.4840  7.1027  6.4972  6.2850  6.1897
  66  0.585588  3.7140  4.6972 -0.6823  8.3850  7.0398  6.4464  6.2390  6.1473
  67  0.589762  3.7168  4.6929 -0.6635  8.2893  6.9786  6.3967  6.1938  6.1057
  68  0.593869  3.7196  4.6885 -0.6450  8.1981  6.9189  6.3480  6.1497  6.0649
  69  0.597915  3.7223  4.6838 -0.6267  8.1108  6.8606  6.3005  6.1064  6.0249
  70  0.601889  3.7249  4.6792 -0.6087  8.0265  6.8038  6.2539  6.0640  5.9856
  71  0.605804  3.7275  4.6744 -0.5910  7.9448  6.7480  6.2081  6.0224  5.9471
  72  0.609658  3.7300  4.6695 -0.5734  7.8658  6.6933  6.1633  5.9816  5.9092
  73  0.613447  3.7324  4.6647 -0.5562  7.7892  6.6397  6.1192  5.9416  5.8720
  74  0.617176  3.7348  4.6597 -0.5391  7.7152  6.5870  6.0759  5.9021  5.8354
  75  0.620839  3.7371  4.6547 -0.5223  7.6439  6.5354  6.0333  5.8634  5.7996
  76  0.624442  3.7393  4.6495 -0.5057  7.5750  6.4848  5.9915  5.8254  5.7642
  77  0.627978  3.7415  4.6444 -0.4893  7.5079  6.4354  5.9505  5.7879  5.7294
  78  0.631452  3.7436  4.6392 -0.4732  7.4430  6.3871  5.9102  5.7511  5.6950
  79  0.634849  3.7456  4.6339 -0.4574  7.3799  6.3399  5.8708  5.7149  5.6611
  80  0.638190  3.7476  4.6285 -0.4418  7.3187  6.2938  5.8320  5.6792  5.6277
  81  0.641471  3.7496  4.6231 -0.4263  7.2593  6.2486  5.7939  5.6441  5.5948
  82  0.646168  3.7523  4.6152 -0.4042  7.1751  6.1838  5.7392  5.5937  5.5476
  83  0.650843  3.7550  4.6068 -0.3820  7.0924  6.1192  5.6846  5.5435  5.5003
  84  0.655477  3.7576  4.5983 -0.3598  7.0113  6.0550  5.6302  5.4933  5.4533
  85  0.660070  3.7601  4.5894 -0.3377  6.9322  5.9914  5.5759  5.4431  5.4059
  86  0.664622  3.7627  4.5803 -0.3155  6.8549  5.9283  5.5216  5.3928  5.3584
  87  0.669134  3.7651  4.5709 -0.2933  6.7793  5.8654  5.4674  5.3423  5.3106
  88  0.673598  3.7676  4.5614 -0.2712  6.7049  5.8029  5.4131  5.2918  5.2629
  89  0.678011  3.7700  4.5516 -0.2490  6.6314  5.7405  5.3589  5.2413  5.2151
  90  0.682367  3.7724  4.5416 -0.2268  6.5590  5.6783  5.3048  5.1909  5.1674
  91  0.686657  3.7747  4.5315 -0.2046  6.4872  5.6164  5.2509  5.1405  5.1196
  92  0.690876  3.7770  4.5213 -0.1824  6.4163  5.5549  5.1971  5.0902  5.0719
  93  0.695017  3.7793  4.5109 -0.1603  6.3466  5.4935  5.1434  5.0400  5.0243
  94  0.699076  3.7816  4.5003 -0.1382  6.2782  5.4324  5.0896  4.9897  4.9764
  95  0.703045  3.7837  4.4895 -0.1161  6.2110  5.3716  5.0360  4.9394  4.9287
  96  0.706911  3.7859  4.4785 -0.0942  6.1452  5.3112  4.9825  4.8893  4.8811
  97  0.710668  3.7880  4.4674 -0.0724  6.0808  5.2516  4.9294  4.8395  4.8335
