#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  73  0.751604  3.6903  4.5490 -0.5205  9.2142  6.8688  6.0240  5.7889  5.6856
  74  0.756267  3.6928  4.5446 -0.5035  9.1182  6.8036  5.9740  5.7444  5.6445
  75  0.760841  3.6952  4.5401 -0.4866  9.0282  6.7408  5.9253  5.7008  5.6041
  76  0.765332  3.6976  4.5355 -0.4702  8.9414  6.6798  5.8778  5.6580  5.5646
  77  0.769744  3.6999  4.5308 -0.4539  8.8567  6.6206  5.8315  5.6162  5.5260
  78  0.774070  3.7020  4.5262 -0.4381  8.7734  6.5631  5.7863  5.5755  5.4883
  79  0.778325  3.7041  4.5214 -0.4225  8.6899  6.5071  5.7422  5.5356  5.4513
  80  0.782509  3.7062  4.5166 -0.4073  8.6079  6.4526  5.6991  5.4966  5.4152
  81  0.786615  3.7082  4.5119 -0.3923  8.5281  6.3999  5.6572  5.4586  5.3800
  82  0.791063  3.7102  4.5066 -0.3761  8.4429  6.3436  5.6122  5.4176  5.3420
  83  0.795457  3.7123  4.5011 -0.3603  8.3609  6.2888  5.5684  5.3776  5.3048
  84  0.799814  3.7142  4.4956 -0.3445  8.2808  6.2354  5.5255  5.3384  5.2682
  85  0.804123  3.7161  4.4900 -0.3292  8.2032  6.1833  5.4834  5.2998  5.2321
  86  0.808376  3.7179  4.4845 -0.3139  8.1274  6.1324  5.4420  5.2619  5.1966
  87  0.812570  3.7197  4.4787 -0.2988  8.0537  6.0827  5.4013  5.2244  5.1614
  88  0.816697  3.7214  4.4729 -0.2839  7.9819  6.0339  5.3614  5.1875  5.1268
  89  0.820748  3.7231  4.4670 -0.2692  7.9117  5.9863  5.3221  5.1511  5.0927
  90  0.824720  3.7247  4.4610 -0.2547  7.8435  5.9398  5.2834  5.1152  5.0589
  91  0.828601  3.7262  4.4548 -0.2405  7.7770  5.8942  5.2455  5.0800  5.0256
  92  0.832392  3.7277  4.4486 -0.2264  7.7122  5.8499  5.2082  5.0450  4.9927
  93  0.836081  3.7292  4.4423 -0.2125  7.6491  5.8066  5.1715  5.0106  4.9600
  94  0.839667  3.7305  4.4359 -0.1987  7.5878  5.7643  5.1355  4.9767  4.9279
  95  0.843151  3.7318  4.4295 -0.1852  7.5282  5.7229  5.1001  4.9434  4.8963
  96  0.846545  3.7330  4.4230 -0.1719  7.4705  5.6824  5.0654  4.9107  4.8650
  97  0.849852  3.7343  4.4165 -0.1587  7.4143  5.6427  5.0312  4.8784  4.8343
  98  0.853079  3.7354  4.4098 -0.1458  7.3599  5.6039  4.9977  4.8468  4.8039
  99  0.856229  3.7365  4.4030 -0.1331  7.3073  5.5658  4.9648  4.8155  4.7741
 100  0.859309  3.7376  4.3964 -0.1206  7.2561  5.5283  4.9324  4.7849  4.7448
 101  0.862326  3.7386  4.3895 -0.1082  7.2067  5.4917  4.9006  4.7548  4.7158
 102  0.865282  3.7396  4.3826 -0.0959  7.1586  5.4558  4.8693  4.7249  4.6872
 103  0.868189  3.7405  4.3757 -0.0840  7.1121  5.4207  4.8385  4.6956  4.6590
 104  0.871049  3.7413  4.3687 -0.0721  7.0670  5.3863  4.8082  4.6667  4.6311
 105  0.873872  3.7421  4.3616 -0.0604  7.0233  5.3525  4.7783  4.6382  4.6036
 106  0.876664  3.7428  4.3545 -0.0488  6.9810  5.3196  4.7490  4.6102  4.5764
 107  0.879432  3.7436  4.3473 -0.0375  6.9400  5.2872  4.7201  4.5823  4.5495
 108  0.882170  3.7443  4.3400 -0.0262  6.9005  5.2556  4.6916  4.5549  4.5229
 109  0.884866  3.7448  4.3327 -0.0152  6.8623  5.2248  4.6636  4.5279  4.4966
 110  0.887421  3.7454  4.3256 -0.0044  6.8245  5.1943  4.6362  4.5015  4.4708
 111  0.889880  3.7460  4.3185  0.0063  6.7877  5.1646  4.6092  4.4755  4.4455
 112  0.891082  3.7463  4.3150  0.0115  6.7696  5.1498  4.5959  4.4626  4.4330
 113  0.892283  3.7466  4.3113  0.0169  6.7517  5.1351  4.5825  4.4495  4.4203
 114  0.893478  3.7468  4.3075  0.0222  6.7340  5.1204  4.5689  4.4364  4.4074
 115  0.894671  3.7471  4.3036  0.0276  6.7162  5.1056  4.5554  4.4232  4.3945
 116  0.895859  3.7474  4.2998  0.0330  6.6986  5.0907  4.5417  4.4099  4.3815
 117  0.897045  3.7476  4.2958  0.0385  6.6810  5.0759  4.5280  4.3965  4.3684
 118  0.898226  3.7477  4.2917  0.0440  6.6636  5.0610  4.5141  4.3830  4.3551
 119  0.899406  3.7479  4.2876  0.0495  6.6462  5.0461  4.5002  4.3694  4.3418
 120  0.900583  3.7482  4.2833  0.0550  6.6289  5.0311  4.4863  4.3557  4.3283
 121  0.901758  3.7484  4.2791  0.0607  6.6117  5.0162  4.4722  4.3420  4.3148
 122  0.902933  3.7486  4.2747  0.0663  6.5946  5.0011  4.4581  4.3282  4.3012
 123  0.904079  3.7488  4.2703  0.0720  6.5768  4.9858  4.4437  4.3141  4.2873
 124  0.905231  3.7489  4.2659  0.0778  6.5590  4.9704  4.4294  4.3001  4.2735
 125  0.906386  3.7491  4.2615  0.0835  6.5416  4.9552  4.4150  4.2859  4.2596
 126  0.907544  3.7493  4.2569  0.0893  6.5242  4.9398  4.4005  4.2717  4.2457
 127  0.908703  3.7494  4.2522  0.0951  6.5071  4.9246  4.3861  4.2576  4.2316
 128  0.909857  3.7495  4.2476  0.1008  6.4897  4.9092  4.3715  4.2433  4.2175
 129  0.911017  3.7497  4.2429  0.1067  6.4729  4.8939  4.3570  4.2289  4.2032
 130  0.912177  3.7498  4.2380  0.1125  6.4564  4.8789  4.3424  4.2145  4.1890
 131  0.913335  3.7499  4.2330  0.1184  6.4403  4.8637  4.3278  4.2000  4.1745
 132  0.914491  3.7499  4.2279  0.1242  6.4243  4.8487  4.3132  4.1854  4.1601
 133  0.915643  3.7500  4.2227  0.1301  6.4085  4.8336  4.2984  4.1708  4.1455
 134  0.916794  3.7500  4.2174  0.1361  6.3928  4.8185  4.2836  4.1560  4.1307
 135  0.917942  3.7500  4.2121  0.1420  6.3775  4.8034  4.2688  4.1412  4.1159
 136  0.919087  3.7500  4.2065  0.1481  6.3623  4.7885  4.2539  4.1263  4.1010
 137  0.920227  3.7500  4.2009  0.1540  6.3475  4.7736  4.2389  4.1113  4.0860
 138  0.921366  3.7499  4.1952  0.1601  6.3330  4.7587  4.2240  4.0963  4.0708
 139  0.922498  3.7498  4.1894  0.1661  6.3187  4.7438  4.2090  4.0812  4.0555
 140  0.923625  3.7497  4.1834  0.1722  6.3043  4.7289  4.1939  4.0660  4.0403
 141  0.924753  3.7496  4.1773  0.1783  6.2911  4.7143  4.1788  4.0507  4.0248
 142  0.925870  3.7495  4.1712  0.1844  6.2775  4.6996  4.1637  4.0353  4.0092
 143  0.926989  3.7493  4.1647  0.1905  6.2652  4.6852  4.1485  4.0198  3.9935
 144  0.928100  3.7490  4.1582  0.1967  6.2527  4.6708  4.1333  4.0043  3.9778
 145  0.929209  3.7487  4.1514  0.2028  6.2414  4.6567  4.1183  3.9887  3.9617
 146  0.930312  3.7484  4.1446  0.2091  6.2300  4.6426  4.1030  3.9731  3.9458
 147  0.931416  3.7480  4.1372  0.2152  6.2205  4.6291  4.0879  3.9574  3.9295
 148  0.932515  3.7476  4.1299  0.2214  6.2113  4.6156  4.0728  3.9415  3.9132
 149  0.933613  3.7471  4.1222  0.2276  6.2031  4.6025  4.0578  3.9257  3.8966
 150  0.934709  3.7465  4.1142  0.2338  6.1960  4.5897  4.0428  3.9098  3.8801
 151  0.935807  3.7459  4.1060  0.2401  6.1900  4.5774  4.0278  3.8939  3.8632
 152  0.936906  3.7451  4.0973  0.2462  6.1858  4.5658  4.0130  3.8778  3.8463
 153  0.938008  3.7443  4.0881  0.2524  6.1837  4.5547  3.9984  3.8619  3.8292
 154  0.939122  3.7433  4.0788  0.2585  6.1830  4.5443  3.9839  3.8458  3.8119
 155  0.940240  3.7422  4.0685  0.2647  6.1861  4.5350  3.9698  3.8298  3.7944
 156  0.941378  3.7409  4.0576  0.2706  6.1925  4.5270  3.9561  3.8140  3.7769
 157  0.942532  3.7392  4.0456  0.2765  6.2051  4.5214  3.9432  3.7983  3.7591
 158  0.943718  3.7372  4.0325  0.2821  6.2245  4.5183  3.9314  3.7831  3.7413
 159  0.944924  3.7346  4.0177  0.2873  6.2540  4.5193  3.9213  3.7688  3.7237
 160  0.946138  3.7314  4.0010  0.2919  6.2971  4.5260  3.9137  3.7560  3.7068
 161  0.947314  3.7277  3.9827  0.2956  6.3550  4.5393  3.9096  3.7454  3.6913
 162  0.948292  3.7237  3.9659  0.2971  6.4219  4.5591  3.9115  3.7407  3.6812
 163  0.949268  3.7192  3.9460  0.2998  6.4979  4.5804  3.9125  3.7339  3.6684
 164  0.950240  3.7143  3.9228  0.3034  6.5837  4.6039  3.9127  3.7252  3.6528
 165  0.951201  3.7091  3.8960  0.3096  6.6708  4.6239  3.9080  3.7107  3.6311
 166  0.952120  3.7041  3.8664  0.3200  6.7431  4.6324  3.8934  3.6870  3.6002
 167  0.952968  3.7000  3.8358  0.3347  6.7825  4.6245  3.8667  3.6527  3.5597
 168  0.953731  3.6969  3.8056  0.3527  6.7929  4.6023  3.8300  3.6102  3.5124
 169  0.954425  3.6946  3.7767  0.3726  6.7845  4.5698  3.7868  3.5623  3.4608
 170  0.955067  3.6928  3.7488  0.3937  6.7637  4.5302  3.7391  3.5112  3.4069
 171  0.955669  3.6915  3.7218  0.4155  6.7357  4.4861  3.6886  3.4580  3.3515
 172  0.956246  3.6904  3.6956  0.4378  6.7011  4.4387  3.6363  3.4034  3.2952
 173  0.956804  3.6895  3.6699  0.4603  6.6609  4.3886  3.5826  3.3480  3.2384
 174  0.957347  3.6888  3.6446  0.4830  6.6173  4.3370  3.5280  3.2920  3.1812
 175  0.957879  3.6883  3.6197  0.5058  6.5708  4.2840  3.4728  3.2355  3.1238
 176  0.958401  3.6878  3.5950  0.5288  6.5226  4.2303  3.4170  3.1787  3.0663
 177  0.958917  3.6873  3.5704  0.5518  6.4732  4.1758  3.3610  3.1218  3.0085
 178  0.959430  3.6870  3.5462  0.5748  6.4224  4.1209  3.3048  3.0648  2.9509
 179  0.959933  3.6866  3.5217  0.5980  6.3716  4.0658  3.2484  3.0076  2.8929
 180  0.960433  3.6863  3.4975  0.6211  6.3196  4.0103  3.1917  2.9502  2.8351
 181  0.960924  3.6859  3.4730  0.6444  6.2680  3.9547  3.1350  2.8927  2.7768
 182  0.961200  3.6857  3.4588  0.6578  6.2385  3.9227  3.1020  2.8593  2.7430
 183  0.961476  3.6854  3.4443  0.6715  6.2088  3.8903  3.0687  2.8255  2.7088
 184  0.961752  3.6852  3.4297  0.6852  6.1785  3.8575  3.0351  2.7914  2.6744
 185  0.962028  3.6849  3.4151  0.6990  6.1485  3.8247  3.0015  2.7572  2.6397
 186  0.962303  3.6847  3.4000  0.7132  6.1179  3.7912  2.9670  2.7222  2.6043
 187  0.962576  3.6844  3.3839  0.7283  6.0851  3.7553  2.9300  2.6846  2.5662
 188  0.962848  3.6841  3.3675  0.7436  6.0523  3.7191  2.8927  2.6467  2.5278
 189  0.963113  3.6837  3.3497  0.7603  6.0174  3.6802  2.8523  2.6056  2.4861
 190  0.963375  3.6834  3.3309  0.7779  5.9795  3.6386  2.8096  2.5622  2.4420
 191  0.963632  3.6831  3.3109  0.7964  5.9406  3.5952  2.7645  2.5164  2.3956
 192  0.963883  3.6826  3.2896  0.8161  5.8997  3.5492  2.7167  2.4676  2.3462
 193  0.964125  3.6821  3.2668  0.8370  5.8576  3.5008  2.6663  2.4161  2.2937
 194  0.964366  3.6816  3.2436  0.8582  5.8145  3.4515  2.6148  2.3636  2.2403
 195  0.964601  3.6810  3.2194  0.8804  5.7707  3.4005  2.5614  2.3090  2.1847
 196  0.964828  3.6804  3.1937  0.9036  5.7263  3.3478  2.5059  2.2520  2.1266
 197  0.965052  3.6797  3.1676  0.9272  5.6815  3.2942  2.4492  2.1939  2.0673
 198  0.965270  3.6790  3.1405  0.9515  5.6358  3.2392  2.3910  2.1341  2.0064
 199  0.965482  3.6782  3.1124  0.9765  5.5898  3.1828  2.3311  2.0724  1.9434
 200  0.965687  3.6775  3.0836  1.0022  5.5438  3.1254  2.2698  2.0094  1.8790
 201  0.965885  3.6765  3.0538  1.0285  5.4973  3.0670  2.2073  1.9449  1.8130
 202  0.966079  3.6756  3.0235  1.0553  5.4505  3.0076  2.1435  1.8791  1.7457
 203  0.966266  3.6747  2.9921  1.0828  5.4043  2.9474  2.0785  1.8119  1.6768
 204  0.966445  3.6736  2.9600  1.1108  5.3585  2.8867  2.0125  1.7436  1.6066
 205  0.966619  3.6724  2.9270  1.1392  5.3130  2.8253  1.9456  1.6741  1.5351
 206  0.966785  3.6713  2.8935  1.1682  5.2677  2.7632  1.8776  1.6035  1.4625
 207  0.966946  3.6700  2.8592  1.1975  5.2226  2.7004  1.8088  1.5318  1.3888
 208  0.967099  3.6688  2.8242  1.2274  5.1783  2.6372  1.7392  1.4593  1.3140
 209  0.967247  3.6674  2.7888  1.2576  5.1346  2.5736  1.6690  1.3858  1.2382
 210  0.967389  3.6660  2.7527  1.2882  5.0916  2.5096  1.5980  1.3117  1.1616
 211  0.967523  3.6646  2.7161  1.3191  5.0495  2.4455  1.5265  1.2368  1.0843
 212  0.967644  3.6629  2.6765  1.3523  5.0077  2.3782  1.4505  1.1568  1.0013
 213  0.967774  3.6611  2.6315  1.3898  4.9620  2.3030  1.3655  1.0668  0.9079
 214  0.967908  3.6593  2.5885  1.4257  4.9188  2.2310  1.2840  0.9804  0.8182
 215  0.968089  3.6582  2.5607  1.4493  4.8873  2.1822  1.2297  0.9235  0.7593
 216  0.968281  3.6594  2.5779  1.4366  4.8900  2.2022  1.2557  0.9528  0.7908
 217  0.968302  3.6598  2.5874  1.4289  4.8977  2.2169  1.2727  0.9710  0.8099
 218  0.968321  3.6602  2.5972  1.4208  4.9067  2.2328  1.2910  0.9904  0.8301
 219  0.968341  3.6606  2.6066  1.4130  4.9153  2.2479  1.3083  1.0088  0.8493
 220  0.968363  3.6609  2.6123  1.4085  4.9192  2.2563  1.3183  1.0196  0.8606
 221  0.968382  3.6611  2.6145  1.4069  4.9194  2.2588  1.3216  1.0233  0.8646
 222  0.968399  3.6612  2.6159  1.4061  4.9179  2.2592  1.3228  1.0251  0.8666
 223  0.968417  3.6613  2.6172  1.4055  4.9150  2.2588  1.3233  1.0260  0.8679
 224  0.968437  3.6615  2.6183  1.4051  4.9113  2.2579  1.3235  1.0267  0.8689
 225  0.968460  3.6616  2.6188  1.4051  4.9077  2.2562  1.3226  1.0263  0.8687
 226  0.968486  3.6617  2.6165  1.4074  4.9028  2.2508  1.3171  1.0207  0.8632
 227  0.968709  3.6579  2.5333  1.4757  4.8299  2.1169  1.1628  0.8571  0.6928
 228  0.968905  3.6544  2.4563  1.5389  4.7635  1.9938  1.0206  0.7060  0.5356
 229  0.969072  3.6512  2.3857  1.5965  4.7083  1.8844  0.8925  0.5693  0.3927
 230  0.969220  3.6482  2.3217  1.6486  4.6632  1.7880  0.7785  0.4465  0.2641
 231  0.969353  3.6448  2.2525  1.7044  4.6172  1.6856  0.6567  0.3151  0.1262
 232  0.969470  3.6412  2.1800  1.7626  4.5726  1.5805  0.5311  0.1788 -0.0173
 233  0.969572  3.6376  2.1092  1.8192  4.5331  1.4805  0.4105  0.0469 -0.1567
 234  0.969663  3.6340  2.0388  1.8750  4.4974  1.3835  0.2929 -0.0826 -0.2942
 235  0.969743  3.6303  1.9688  1.9302  4.4662  1.2902  0.1791 -0.2095 -0.4298
 236  0.969813  3.6266  1.9007  1.9836  4.4383  1.2019  0.0709 -0.3315 -0.5608
 237  0.969875  3.6229  1.8342  2.0354  4.4138  1.1187 -0.0314 -0.4487 -0.6877
 238  0.969930  3.6193  1.7697  2.0854  4.3919  1.0409 -0.1276 -0.5606 -0.8099
 239  0.969981  3.6157  1.7054  2.1351  4.3708  0.9656 -0.2206 -0.6709 -0.9314
 240  0.970025  3.6121  1.6431  2.1831  4.3510  0.8952 -0.3074 -0.7760 -1.0484
 241  0.970063  3.6085  1.5821  2.2300  4.3320  0.8283 -0.3892 -0.8780 -1.1631
 242  0.970099  3.6050  1.5216  2.2765  4.3151  0.7655 -0.4655 -0.9773 -1.2765
 243  0.970132  3.6015  1.4624  2.3215  4.3010  0.7084 -0.5350 -1.0721 -1.3866
 244  0.970160  3.5979  1.4044  2.3655  4.2858  0.6550 -0.6000 -1.1638 -1.4939
 245  0.970187  3.5946  1.3480  2.4083  4.2683  0.6049 -0.6613 -1.2519 -1.5976
 246  0.970210  3.5911  1.2922  2.4505  4.2481  0.5575 -0.7193 -1.3378 -1.6993
 247  0.970232  3.5877  1.2372  2.4919  4.2283  0.5141 -0.7711 -1.4208 -1.7993
 248  0.970251  3.5844  1.1835  2.5320  4.2096  0.4754 -0.8149 -1.4997 -1.8962
 249  0.970269  3.5811  1.1314  2.5710  4.1922  0.4404 -0.8509 -1.5751 -1.9909
 250  0.970286  3.5778  1.0798  2.6093  4.1749  0.4098 -0.8794 -1.6476 -2.0837
 251  0.970301  3.5744  1.0291  2.6470  4.1581  0.3845 -0.9002 -1.7168 -2.1744
 252  0.970314  3.5713  0.9799  2.6832  4.1425  0.3651 -0.9122 -1.7818 -2.2619
 253  0.970327  3.5680  0.9311  2.7191  4.1280  0.3501 -0.9190 -1.8442 -2.3481
 254  0.970340  3.5648  0.8834  2.7540  4.1158  0.3423 -0.9176 -1.9019 -2.4308
 255  0.970350  3.5617  0.8368  2.7880  4.1050  0.3416 -0.9068 -1.9551 -2.5104
 256  0.970360  3.5585  0.7913  2.8210  4.0996  0.3472 -0.8914 -2.0039 -2.5864
 257  0.970369  3.5554  0.7464  2.8534  4.0941  0.3609 -0.8615 -2.0487 -2.6600
 258  0.970378  3.5524  0.7023  2.8851  4.0866  0.3849 -0.8141 -2.0873 -2.7300
 259  0.970386  3.5493  0.6594  2.9162  4.0747  0.4203 -0.7464 -2.1191 -2.7961
 260  0.970394  3.5463  0.6175  2.9462  4.0494  0.4818 -0.6225 -2.1378 -2.8570
 261  0.970401  3.5435  0.5763  2.9756  4.0171  0.5541 -0.4796 -2.1488 -2.9129
 262  0.970407  3.5405  0.5357  3.0046  3.9828  0.6400 -0.3209 -2.1512 -2.9634
 263  0.970413  3.5376  0.4959  3.0327  3.9490  0.7466 -0.1389 -2.1412 -3.0065
 264  0.970419  3.5348  0.4573  3.0602  3.9223  0.8762  0.0517 -2.1161 -3.0389
