#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 1.2534E-04 1.2534E-04  -2.20   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.102842  3.5432  5.3858 -2.8095 17.8288 14.0301 12.3592 11.6562 11.2756
  14  0.112652  3.5536  5.3411 -2.6838 17.0771 13.5922 11.9855 11.3391 10.9806
  15  0.123276  3.5640  5.2962 -2.5583 16.3745 13.1524 11.6190 11.0194 10.6814
  16  0.134729  3.5735  5.2540 -2.4396 15.7502 12.7403 11.2808 10.7167 10.3955
  17  0.146388  3.5811  5.2182 -2.3373 15.2341 12.3899 10.9951 10.4563 10.1477
  18  0.156904  3.5863  5.1910 -2.2590 14.8736 12.1293 10.7795 10.2569  9.9566
  19  0.165957  3.5900  5.1703 -2.1990 14.6190 11.9356 10.6166 10.1047  9.8100
  20  0.174949  3.5931  5.1518 -2.1452 14.3987 11.7644 10.4710  9.9677  9.6777
  21  0.187286  3.5968  5.1297 -2.0789 14.1298 11.5554 10.2923  9.7992  9.5149
  22  0.213911  3.6032  5.0906 -1.9571 13.6276 11.1717  9.9645  9.4894  9.2149
  23  0.230876  3.6068  5.0693 -1.8884 13.3582 10.9590  9.7803  9.3144  9.0454
  24  0.242935  3.6092  5.0548 -1.8412 13.1820 10.8153  9.6541  9.1942  8.9291
  25  0.275403  3.6148  5.0258 -1.7358 12.7924 10.4912  9.3699  8.9243  8.6683
  26  0.295789  3.6178  5.0110 -1.6779 12.5838 10.3153  9.2141  8.7760  8.5250
  27  0.317420  3.6209  4.9970 -1.6207 12.3730 10.1392  9.0592  8.6291  8.3833
  28  0.326859  3.6222  4.9917 -1.5975 12.2877 10.0686  8.9966  8.5697  8.3260
  29  0.333902  3.6231  4.9872 -1.5799 12.2240 10.0156  8.9494  8.5248  8.2825
  30  0.340096  3.6239  4.9839 -1.5655 12.1703  9.9715  8.9104  8.4877  8.2469
  31  0.345791  3.6247  4.9816 -1.5529 12.1223  9.9325  8.8761  8.4553  8.2157
  32  0.350099  3.6252  4.9800 -1.5435 12.0861  9.9035  8.8507  8.4313  8.1928
  33  0.353168  3.6257  4.9785 -1.5364 12.0580  9.8810  8.8310  8.4128  8.1751
