#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.104095  3.5496  5.3874 -2.7804 17.5748 13.8308 12.1958 11.5403 11.1793
  14  0.113716  3.5610  5.3439 -2.6529 16.7922 13.3886 11.8297 11.2252 10.8851
  15  0.124142  3.5722  5.3002 -2.5262 16.0609 12.9447 11.4722 10.9087 10.5871
  16  0.135334  3.5823  5.2593 -2.4076 15.3905 12.5295 11.1443 10.6121 10.3054
  17  0.146638  3.5900  5.2244 -2.3068 14.8465 12.1818 10.8694 10.3596 10.0640
  18  0.157438  3.5955  5.1964 -2.2262 14.4854 11.9184 10.6525 10.1569  9.8690
  19  0.167757  3.5995  5.1734 -2.1594 14.2102 11.7064 10.4737  9.9883  9.7062
  20  0.178386  3.6029  5.1524 -2.0979 13.9644 11.5146 10.3096  9.8329  9.5559
  21  0.192214  3.6068  5.1286 -2.0268 13.6826 11.2943 10.1199  9.6529  9.3816
  22  0.207015  3.6105  5.1059 -1.9573 13.4133 11.0807  9.9347  9.4767  9.2110
  23  0.224981  3.6145  5.0816 -1.8803 13.1226 10.8460  9.7293  9.2811  9.0217
  24  0.250449  3.6193  5.0542 -1.7870 12.7765 10.5623  9.4795  9.0432  8.7917
  25  0.274506  3.6234  5.0330 -1.7096 12.4926 10.3280  9.2721  8.8456  8.6009
  26  0.296509  3.6268  5.0170 -1.6467 12.2625 10.1376  9.1030  8.6848  8.4456
  27  0.313595  3.6292  5.0065 -1.6021 12.0993 10.0029  8.9832  8.5708  8.3356
  28  0.326053  3.6308  4.9995 -1.5716 11.9879  9.9109  8.9011  8.4927  8.2603
  29  0.336997  3.6322  4.9935 -1.5456 11.8924  9.8323  8.8311  8.4261  8.1960
  30  0.347409  3.6337  4.9879 -1.5212 11.8011  9.7579  8.7651  8.3634  8.1356
  31  0.356484  3.6350  4.9830 -1.4999 11.7207  9.6930  8.7075  8.3089  8.0833
  32  0.362952  3.6359  4.9794 -1.4846 11.6624  9.6461  8.6662  8.2698  8.0457
  33  0.367705  3.6366  4.9763 -1.4729 11.6167  9.6096  8.6341  8.2394  8.0166
  34  0.371520  3.6374  4.9733 -1.4627 11.5774  9.5784  8.6066  8.2136  7.9917
  35  0.374966  3.6379  4.9702 -1.4532 11.5401  9.5486  8.5805  8.1889  7.9681
  36  0.378337  3.6386  4.9668 -1.4434 11.5025  9.5187  8.5541  8.1640  7.9442
  37  0.381904  3.6392  4.9630 -1.4329 11.4628  9.4868  8.5258  8.1372  7.9185
  38  0.387045  3.6402  4.9571 -1.4175 11.4049  9.4398  8.4842  8.0978  7.8805
  39  0.394802  3.6417  4.9487 -1.3943 11.3143  9.3666  8.4206  8.0380  7.8233
  40  0.400802  3.6428  4.9409 -1.3752 11.2412  9.3075  8.3685  7.9889  7.7762
  41  0.410095  3.6448  4.9298 -1.3463 11.1289  9.2179  8.2899  7.9150  7.7055
  42  0.424864  3.6483  4.9134 -1.3004 10.9410  9.0718  8.1633  7.7966  7.5930
  43  0.442547  3.6535  4.8931 -1.2420 10.6906  8.8827  8.0012  7.6464  7.4511
  44  0.456412  3.6578  4.8767 -1.1947 10.4822  8.7286  7.8698  7.5248  7.3364
  45  0.468073  3.6620  4.8618 -1.1523 10.2921  8.5898  7.7521  7.4164  7.2346
  46  0.479097  3.6663  4.8476 -1.1110 10.1036  8.4531  7.6371  7.3109  7.1359
  47  0.489391  3.6705  4.8344 -1.0715  9.9209  8.3216  7.5271  7.2108  7.0425
  48  0.499779  3.6753  4.8219 -1.0308  9.7278  8.1844  7.4137  7.1079  6.9471
  49  0.508870  3.6796  4.8111 -0.9948  9.5555  8.0630  7.3139  7.0178  6.8637
  50  0.516949  3.6837  4.8016 -0.9621  9.3964  7.9519  7.2232  6.9362  6.7886
  51  0.524628  3.6878  4.7926 -0.9303  9.2413  7.8441  7.1357  6.8578  6.7165
  52  0.528990  3.6901  4.7876 -0.9120  9.1528  7.7823  7.0857  6.8130  6.6753
  53  0.533371  3.6926  4.7826 -0.8936  9.0642  7.7204  7.0353  6.7680  6.6339
  54  0.537821  3.6952  4.7775 -0.8748  8.9744  7.6573  6.9842  6.7223  6.5920
  55  0.542366  3.6978  4.7723 -0.8556  8.8834  7.5933  6.9322  6.6757  6.5492
  56  0.547034  3.7005  4.7671 -0.8358  8.7901  7.5276  6.8789  6.6281  6.5055
  57  0.551827  3.7033  4.7616 -0.8155  8.6953  7.4607  6.8247  6.5795  6.4608
  58  0.556665  3.7061  4.7560 -0.7949  8.5997  7.3930  6.7699  6.5304  6.4157
  59  0.561508  3.7089  4.7505 -0.7742  8.5043  7.3250  6.7148  6.4811  6.3705
  60  0.566339  3.7118  4.7450 -0.7534  8.4097  7.2569  6.6597  6.4319  6.3254
  61  0.571143  3.7147  4.7395 -0.7326  8.3164  7.1894  6.6049  6.3830  6.2805
  62  0.575901  3.7176  4.7340 -0.7119  8.2248  7.1225  6.5508  6.3347  6.2363
  63  0.580596  3.7205  4.7286 -0.6914  8.1354  7.0568  6.4976  6.2871  6.1926
  64  0.585225  3.7233  4.7231 -0.6712  8.0486  6.9924  6.4452  6.2402  6.1496
  65  0.589769  3.7261  4.7176 -0.6513  7.9651  6.9298  6.3938  6.1941  6.1071
  66  0.594219  3.7288  4.7122 -0.6318  7.8848  6.8692  6.3439  6.1490  6.0655
  67  0.598572  3.7315  4.7067 -0.6126  7.8077  6.8103  6.2951  6.1048  6.0246
  68  0.602813  3.7340  4.7014 -0.5939  7.7336  6.7533  6.2476  6.0618  5.9848
  69  0.606952  3.7365  4.6960 -0.5756  7.6620  6.6975  6.2012  6.0198  5.9459
  70  0.610989  3.7389  4.6907 -0.5577  7.5927  6.6432  6.1559  5.9787  5.9078
  71  0.614931  3.7413  4.6854 -0.5401  7.5253  6.5900  6.1117  5.9387  5.8707
  72  0.618787  3.7436  4.6801 -0.5229  7.4597  6.5378  6.0683  5.8995  5.8345
  73  0.622562  3.7458  4.6749 -0.5059  7.3960  6.4867  6.0257  5.8609  5.7988
  74  0.626260  3.7480  4.6695 -0.4892  7.3344  6.4369  5.9840  5.8231  5.7638
  75  0.629887  3.7503  4.6642 -0.4728  7.2751  6.3884  5.9429  5.7857  5.7290
  76  0.633449  3.7524  4.6590 -0.4565  7.2172  6.3408  5.9026  5.7490  5.6948
  77  0.636946  3.7544  4.6537 -0.4406  7.1609  6.2941  5.8630  5.7128  5.6610
  78  0.640388  3.7564  4.6483 -0.4247  7.1053  6.2479  5.8240  5.6773  5.6280
  79  0.643772  3.7584  4.6430 -0.4092  7.0501  6.2023  5.7856  5.6426  5.5959
  80  0.647103  3.7604  4.6377 -0.3938  6.9959  6.1571  5.7479  5.6084  5.5642
