#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=14.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  14  0.106809  3.5529  5.3740 -2.7422 17.3347 13.6995 12.0858 11.4465 11.0919
  15  0.116537  3.5643  5.3304 -2.6154 16.5718 13.2570 11.7229 11.1316 10.7973
  16  0.126795  3.5749  5.2882 -2.4939 15.8808 12.8325 11.3827 10.8281 10.5107
  17  0.137186  3.5839  5.2507 -2.3865 15.2736 12.4568 11.0870 10.5597 10.2552
  18  0.147271  3.5906  5.2195 -2.2977 14.8049 12.1524 10.8452 10.3369 10.0421
  19  0.156934  3.5955  5.1940 -2.2252 14.4818 11.9157 10.6498 10.1544  9.8664
  20  0.166369  3.5993  5.1722 -2.1630 14.2259 11.7185 10.4836  9.9976  9.7150
  21  0.176325  3.6025  5.1520 -2.1042 13.9913 11.5353 10.3271  9.8493  9.5715
  22  0.190301  3.6064  5.1278 -2.0317 13.7033 11.3103 10.1334  9.6656  9.3937
  23  0.205276  3.6102  5.1049 -1.9612 13.4294 11.0933  9.9453  9.4866  9.2204
  24  0.224562  3.6145  5.0790 -1.8784 13.1165 10.8408  9.7245  9.2763  9.0171
  25  0.252923  3.6199  5.0496 -1.7759 12.7360 10.5289  9.4500  9.0150  8.7645
  26  0.278547  3.6241  5.0284 -1.6957 12.4416 10.2859  9.2348  8.8101  8.5666
  27  0.300815  3.6275  5.0133 -1.6338 12.2142 10.0980  9.0681  8.6517  8.4137
  28  0.316428  3.6296  5.0041 -1.5939 12.0681  9.9775  8.9609  8.5497  8.3153
  29  0.328514  3.6312  4.9976 -1.5647 11.9614  9.8894  8.8824  8.4750  8.2432
  30  0.339239  3.6327  4.9919 -1.5394 11.8680  9.8129  8.8142  8.4102  8.1808
  31  0.349394  3.6341  4.9864 -1.5156 11.7787  9.7403  8.7498  8.3491  8.1219
  32  0.357664  3.6353  4.9820 -1.4961 11.7049  9.6809  8.6971  8.2993  8.0740
  33  0.363526  3.6362  4.9785 -1.4820 11.6505  9.6373  8.6587  8.2629  8.0392
  34  0.367866  3.6369  4.9753 -1.4709 11.6074  9.6028  8.6285  8.2344  8.0119
  35  0.371359  3.6375  4.9725 -1.4613 11.5700  9.5731  8.6025  8.2099  7.9884
  36  0.374416  3.6381  4.9695 -1.4524 11.5352  9.5456  8.5783  8.1871  7.9666
  37  0.377343  3.6387  4.9664 -1.4437 11.5009  9.5182  8.5543  8.1644  7.9449
  38  0.380402  3.6393  4.9629 -1.4344 11.4655  9.4900  8.5292  8.1407  7.9220
  39  0.383629  3.6399  4.9596 -1.4250 11.4303  9.4615  8.5041  8.1169  7.8992
  40  0.387249  3.6405  4.9540 -1.4126 11.3842  9.4240  8.4706  8.0852  7.8686
  41  0.394166  3.6419  4.9453 -1.3906 11.2991  9.3549  8.4105  8.0285  7.8142
  42  0.399719  3.6430  4.9378 -1.3728 11.2319  9.3002  8.3620  7.9828  7.7704
  43  0.406814  3.6445  4.9291 -1.3505 11.1458  9.2313  8.3014  7.9257  7.7157
  44  0.417935  3.6471  4.9162 -1.3155 11.0051  9.1209  8.2054  7.8357  7.6300
  45  0.430738  3.6505  4.9014 -1.2737 10.8297  8.9867  8.0898  7.7282  7.5281
  46  0.445891  3.6552  4.8830 -1.2217 10.6041  8.8178  7.9454  7.5945  7.4019
