#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.0920E-04 2.0920E-04  -1.90   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.105460  3.5403  5.3659 -2.7900 17.8088 14.0786 12.3953 11.6579 11.2624
  14  0.115710  3.5495  5.3193 -2.6666 17.1217 13.6467 12.0180 11.3385 10.9654
  15  0.127102  3.5586  5.2727 -2.5427 16.4735 13.2151 11.6466 11.0159 10.6639
  16  0.139538  3.5670  5.2299 -2.4260 15.9057 12.8144 11.3053 10.7120 10.3780
  17  0.152203  3.5736  5.1949 -2.3267 15.4593 12.4811 11.0214 10.4542 10.1332
  18  0.163185  3.5782  5.1700 -2.2533 15.1425 12.2390 10.8147 10.2643  9.9518
  19  0.172111  3.5814  5.1518 -2.1992 14.9131 12.0625 10.6639 10.1248  9.8181
  20  0.181016  3.5842  5.1349 -2.1492 14.7054 11.9013 10.5258  9.9962  9.6944
  21  0.194640  3.5881  5.1121 -2.0795 14.4185 11.6783 10.3349  9.8175  9.5221
  22  0.228246  3.5959  5.0649 -1.9310 13.7989 11.2072  9.9331  9.4388  9.1556
  23  0.245782  3.5992  5.0457 -1.8668 13.5431 11.0061  9.7593  9.2744  8.9964
  24  0.251561  3.6001  5.0396 -1.8472 13.4690 10.9452  9.7061  9.2241  8.9477
  25  0.285279  3.6056  5.0108 -1.7417 13.0771 10.6175  9.4200  8.9530  8.6857
  26  0.301985  3.6079  4.9994 -1.6967 12.9161 10.4797  9.2985  8.8376  8.5740
  27  0.322859  3.6109  4.9859 -1.6422 12.7140 10.3097  9.1502  8.6972  8.4387
  28  0.328644  3.6116  4.9827 -1.6283 12.6618 10.2664  9.1123  8.6614  8.4042
  29  0.332051  3.6120  4.9797 -1.6190 12.6281 10.2381  9.0875  8.6378  8.3812
  30  0.334545  3.6124  4.9784 -1.6133 12.6061 10.2199  9.0717  8.6229  8.3668
  31  0.336696  3.6127  4.9784 -1.6092 12.5901 10.2068  9.0606  8.6125  8.3569
  32  0.338532  3.6129  4.9785 -1.6060 12.5765 10.1960  9.0516  8.6041  8.3490
  33  0.340013  3.6131  4.9781 -1.6028 12.5633 10.1855  9.0426  8.5958  8.3410
